Flow (l/min), Pressure (cmH2O), Volume (ml)

9.83,5.55,548.18
11.33,5.12,534.51
14.65,4.84,521.48
18.49,4.88,510.42
20.12,5.20,500.65
19.40,5.43,490.89
18.42,5.39,481.12
18.23,5.12,472.01
19.40,4.80,462.89
21.42,4.65,454.43
23.76,4.84,447.27
24.67,5.20,440.10
23.70,5.39,433.59
22.46,5.31,427.08
22.66,5.00,420.57
23.76,4.80,414.71
25.39,4.80,408.85
26.11,5.04,402.99
25.85,5.23,397.79
25.52,5.23,392.58
25.33,5.16,387.37
25.33,5.12,382.16
25.52,5.04,376.95
25.85,5.00,372.40
26.56,4.96,367.84
27.28,5.00,363.28
27.80,5.08,359.38
27.80,5.16,355.47
27.67,5.23,351.56
27.47,5.27,347.66
27.34,5.23,343.75
27.34,5.12,339.84
27.54,5.00,336.59
27.99,4.88,333.33
28.84,4.84,333.33
29.62,4.84,333.33
30.01,4.80,333.33
30.99,4.61,333.33
32.42,4.41,333.33
33.72,4.30,333.33
36.46,3.87,333.33
59.70,5.16,340.49
82.36,10.43,354.17
92.12,15.47,376.95
88.48,18.48,406.90
73.76,18.95,437.50
65.56,17.73,464.19
70.12,16.99,488.93
71.88,17.11,514.32
72.27,16.95,540.36
73.44,16.72,567.06
74.41,16.60,595.05
78.65,17.07,622.40
80.08,17.97,651.04
77.67,18.40,679.69
74.61,18.28,708.33
73.05,17.93,736.33
71.42,18.05,762.37
69.21,18.63,785.16
61.39,19.06,805.34
48.24,18.95,819.66
38.35,18.63,826.82
14.84,16.17,830.08
-23.96,10.82,817.06
-25.33,7.66,785.81
-17.45,6.25,753.26
-10.94,5.82,723.31
-8.01,5.82,695.31
-6.18,5.78,667.97
-5.01,5.66,642.58
-2.80,5.47,618.49
0.26,5.20,596.35
4.49,5.00,576.17
8.66,5.08,558.59
10.42,5.12,542.32
11.20,5.08,527.34
13.22,4.96,513.67
15.76,5.04,501.30
16.34,5.16,489.58
16.15,5.16,477.86
16.93,5.00,467.45
18.62,4.92,457.03
20.38,5.04,447.92
20.70,5.16,438.80
20.38,5.20,430.34
20.44,5.08,421.88
20.96,4.88,414.06
22.79,4.84,406.90
24.02,5.04,399.74
23.83,5.27,392.58
22.79,5.27,386.07
22.59,5.04,379.56
23.57,4.84,373.05
24.87,4.84,367.19
25.78,5.04,361.33
25.78,5.20,356.12
25.52,5.20,350.91
25.33,5.16,345.70
25.39,5.12,340.49
25.52,5.08,335.29
25.85,4.96,333.33
26.82,4.88,333.33
28.13,4.92,333.33
28.45,5.16,333.33
27.99,5.35,333.33
27.41,5.39,333.33
26.76,5.31,333.33
26.82,5.08,333.33
27.21,4.88,333.33
28.45,4.77,333.33
29.49,4.77,333.33
30.21,4.73,333.33
31.12,4.61,333.33
32.42,4.45,333.33
33.92,4.22,333.33
37.24,3.95,333.33
62.11,5.66,341.15
84.05,10.55,356.12
94.66,15.23,381.51
91.99,18.44,413.41
80.53,19.02,446.61
72.40,18.01,477.86
75.52,17.30,506.51
76.82,17.70,533.85
76.89,17.85,562.50
76.82,17.77,591.80
76.63,17.66,621.09
76.82,17.62,650.39
76.89,17.70,679.04
76.82,18.09,707.03
75.91,18.44,735.03
71.94,18.75,761.07
67.12,18.75,785.16
61.91,18.91,805.34
54.36,19.06,820.96
46.03,18.87,832.68
39.13,18.63,839.19
15.49,15.78,844.40
-21.68,10.86,830.73
-24.15,7.81,800.78
-16.86,6.33,768.88
-10.68,5.78,739.58
-6.90,5.70,712.24
-5.92,5.70,685.55
-4.75,5.55,660.16
-3.58,5.43,635.42
-1.11,5.20,612.63
2.34,4.96,591.15
6.18,4.96,572.27
9.24,5.12,554.69
10.29,5.16,539.06
10.81,5.04,524.09
13.35,4.88,510.42
15.89,4.96,498.05
16.60,5.20,485.68
16.15,5.23,474.61
16.67,5.08,463.54
17.90,4.84,453.78
20.12,4.84,444.01
21.35,5.04,434.90
21.42,5.27,426.43
20.96,5.27,418.62
21.22,5.04,410.81
22.27,4.84,403.65
24.02,4.84,397.14
24.93,5.08,390.63
24.41,5.31,384.11
23.50,5.31,378.26
23.37,5.12,371.74
23.76,4.92,365.89
25.07,4.88,360.03
26.24,4.96,354.82
26.56,5.12,349.61
26.24,5.27,344.40
25.72,5.27,339.84
25.39,5.20,334.64
25.65,5.04,333.33
26.63,4.80,333.33
27.99,4.80,333.33
28.78,5.00,333.33
28.78,5.23,333.33
28.13,5.39,333.33
27.54,5.39,333.33
27.41,5.23,333.33
27.67,5.04,333.33
28.32,4.88,333.33
29.23,4.77,333.33
30.66,4.53,333.33
32.62,4.22,333.33
34.83,3.95,333.33
50.33,4.38,337.89
75.72,9.22,347.01
88.80,13.98,367.84
91.41,17.34,396.48
85.16,19.06,429.04
73.24,18.91,459.64
69.47,17.81,486.98
72.85,17.46,513.67
73.70,17.27,541.02
74.61,16.95,569.01
76.89,16.76,597.66
81.77,17.46,626.30
82.55,18.24,656.90
79.82,18.79,687.50
74.35,19.06,716.15
66.67,19.14,740.23
57.36,19.26,759.11
46.29,18.98,771.48
39.91,18.59,778.65
35.74,18.91,780.60
32.23,18.95,780.60
21.48,18.09,780.60
-19.47,12.46,773.44
-29.30,8.36,743.49
-21.74,6.45,709.64
-14.97,5.66,677.73
-9.83,5.35,647.79
-4.56,5.23,621.74
0.00,5.12,598.31
4.69,5.16,577.47
7.42,5.20,559.90
9.18,5.08,543.62
11.91,4.92,528.65
14.45,4.96,514.97
15.56,5.20,502.60
15.43,5.27,490.23
15.30,5.08,479.17
16.47,4.88,468.10
18.55,4.80,457.68
19.99,5.00,447.92
20.12,5.16,438.80
20.05,5.16,429.69
20.25,5.00,421.22
21.29,4.84,413.41
22.85,4.92,405.60
23.57,5.12,398.44
23.18,5.23,391.28
22.72,5.16,384.77
23.18,4.92,378.26
23.96,4.84,372.40
25.07,4.92,365.89
25.52,5.08,360.68
25.26,5.20,354.82
24.74,5.20,348.96
24.54,5.12,343.75
24.93,4.96,338.54
25.65,4.92,333.33
26.56,4.92,333.33
27.28,5.08,333.33
26.89,5.23,333.33
