Flow (l/min), Pressure (cmH2O), Volume (ml)

28.13,4.53,386.72
28.45,4.65,382.81
27.67,5.00,378.91
26.50,5.12,374.35
27.41,4.57,371.09
30.01,4.22,367.84
30.60,4.49,366.54
29.56,4.80,363.93
28.52,5.12,360.68
37.76,5.90,333.33
82.03,12.97,333.33
91.08,21.02,346.35
91.67,26.84,369.14
91.34,30.90,396.48
91.60,34.53,424.48
91.60,37.15,456.38
91.80,40.90,484.38
91.86,43.98,514.97
91.93,47.30,544.27
91.60,50.98,572.92
92.12,53.95,603.52
91.93,56.60,635.42
92.12,59.53,666.02
80.27,62.54,694.66
43.55,58.75,722.01
-36.52,41.02,756.51
-66.67,14.57,744.14
-24.67,8.52,694.01
-10.48,8.91,664.71
-17.64,7.42,636.07
17.71,5.04,465.49
20.57,4.69,456.38
24.61,4.73,449.22
23.89,5.27,442.71
23.05,5.31,436.20
23.18,5.00,429.69
22.79,5.20,422.53
23.50,4.77,416.02
25.72,4.45,410.16
27.93,4.53,406.25
25.78,5.43,401.04
23.89,5.27,395.83
25.65,4.45,390.63
27.99,4.53,386.07
27.99,4.73,382.81
28.32,4.69,379.56
27.93,4.96,375.65
24.93,5.70,369.14
23.24,5.39,363.93
23.83,5.00,358.07
25.46,4.84,352.86
27.02,4.73,347.66
27.99,4.80,344.40
27.86,4.88,340.49
29.56,4.41,337.24
30.79,4.45,335.29
29.95,4.84,333.33
51.69,6.13,333.33
88.61,15.78,333.98
91.67,22.81,352.86
91.41,28.13,376.30
91.54,32.66,402.34
91.54,35.23,434.24
91.67,37.58,466.15
91.80,39.69,499.35
91.73,43.05,528.65
91.67,46.68,557.29
91.93,50.39,585.94
91.47,53.91,614.58
91.86,57.19,644.53
92.12,60.39,674.48
68.68,62.42,701.82
31.45,56.29,728.52
-66.67,32.58,761.07
-66.67,11.21,725.26
-18.42,8.28,677.08
-14.71,8.36,645.83
-11.33,6.76,619.14
-5.73,5.94,593.75
-1.89,6.02,569.01
1.24,5.39,548.18
6.77,4.96,529.95
13.54,4.77,515.63
19.14,5.04,503.91
20.83,5.39,494.14
19.73,5.59,485.03
18.82,5.35,475.91
20.57,4.88,468.10
20.18,5.47,458.33
17.45,5.47,447.92
20.25,4.53,440.76
21.55,4.92,431.64
24.61,4.34,425.78
26.50,4.73,420.57
26.50,5.04,415.36
23.96,5.74,407.55
22.07,5.43,401.69
22.85,5.00,395.18
24.48,4.88,389.32
25.98,4.84,384.11
26.43,5.04,378.91
26.17,5.08,374.35
26.82,4.84,370.44
27.02,5.00,365.89
26.82,5.00,361.33
27.15,4.88,357.42
26.95,5.12,352.86
27.08,4.88,348.96
28.52,4.69,345.70
28.71,4.80,342.45
28.45,4.96,339.19
27.15,5.31,333.98
26.43,5.20,333.33
27.21,4.88,333.33
29.04,4.88,333.33
67.38,8.24,333.33
91.28,18.20,339.19
92.32,24.41,361.33
92.58,28.16,389.97
92.51,31.05,421.22
92.25,34.49,450.52
92.38,37.73,481.12
92.12,41.33,509.77
92.25,44.65,539.71
92.19,47.97,569.66
92.51,51.05,600.26
92.38,53.83,632.16
92.45,56.76,663.41
89.97,60.00,693.36
56.18,60.12,719.40
5.34,50.35,747.40
-66.67,22.38,760.42
-60.74,8.87,709.64
-11.65,8.71,671.88
-18.42,8.16,639.97
-6.77,5.55,616.54
2.54,5.43,594.40
7.42,5.23,576.17
13.67,4.84,562.50
15.30,5.55,548.18
18.75,4.88,539.06
18.16,5.82,526.69
15.30,5.74,515.63
16.54,5.04,505.86
19.34,4.96,496.09
19.79,5.23,486.33
20.57,5.04,477.86
22.59,4.80,470.70
22.98,5.16,462.89
22.98,5.12,456.38
24.54,4.65,450.52
26.04,4.77,445.31
27.73,4.49,441.41
30.08,4.30,438.15
27.54,5.39,433.59
22.59,6.17,425.78
20.12,5.66,419.27
21.81,5.00,412.76
25.46,4.53,406.90
26.82,4.96,401.69
25.98,5.23,396.48
25.85,5.08,391.93
26.30,4.96,387.37
26.69,5.00,382.81
26.89,4.92,378.26
27.15,4.92,374.35
27.73,4.84,370.44
27.60,5.00,366.54
27.73,4.88,363.28
27.99,4.80,359.38
29.36,4.53,356.77
29.88,4.69,354.17
36.46,5.20,333.33
79.75,11.48,333.33
91.41,21.29,341.80
91.54,27.03,364.58
91.60,31.33,391.28
91.73,34.53,420.57
92.25,36.91,453.13
92.32,39.41,485.68
92.19,42.42,516.28
92.12,45.66,546.22
92.19,49.10,576.17
92.12,52.70,604.82
91.99,56.37,634.11
91.54,59.73,663.41
83.07,63.20,690.76
46.42,60.90,716.80
-25.20,46.05,747.40
-66.67,16.95,745.44
-32.88,8.55,695.96
-9.18,8.67,666.02
-17.32,7.73,636.07
-13.02,6.52,607.42
-5.21,5.59,582.03
0.52,5.43,559.24
3.65,5.35,538.41
9.11,4.77,522.14
16.54,4.41,508.46
22.46,4.77,499.35
22.40,5.63,490.23
18.36,6.09,480.47
17.51,5.47,471.35
18.82,5.20,462.24
20.70,4.96,453.78
21.61,5.12,445.31
23.11,4.80,438.80
23.76,5.08,431.64
23.89,5.00,425.78
24.28,5.00,419.27
23.76,5.23,412.76
23.50,5.16,406.25
23.89,4.96,400.39
24.48,4.88,394.53
25.39,4.84,389.32
25.46,5.08,383.46
25.20,5.12,377.60
24.61,5.16,371.74
26.30,4.49,367.84
27.47,4.65,363.93
27.93,4.65,360.03
28.84,4.53,356.77
27.21,5.27,351.56
25.91,5.27,347.01
25.91,5.04,342.45
26.43,4.96,338.54
26.76,4.96,333.98
27.15,4.88,333.33
28.39,4.61,333.33
29.56,4.53,333.33
47.40,5.63,333.33
86.26,14.80,333.33
91.02,20.98,353.52
91.15,25.43,378.91
91.34,29.41,406.90
91.47,33.09,434.90
91.08,36.60,463.54
91.47,39.80,492.84
91.08,42.97,522.79
91.21,46.37,552.08
91.47,49.80,580.73
