Flow (l/min), Pressure (cmH2O), Volume (ml)

12.76,5.04,430.34
14.06,5.04,417.32
15.82,4.92,405.60
18.42,4.96,394.53
19.47,5.31,384.11
19.60,5.39,375.00
19.92,5.31,365.89
20.38,5.27,357.42
20.96,5.27,348.96
21.61,5.31,340.49
22.33,5.23,333.33
23.57,5.16,333.33
24.80,5.23,333.33
25.91,5.27,333.33
27.08,5.23,333.33
27.86,5.20,333.33
28.45,5.16,333.33
29.04,5.08,333.33
29.62,5.04,333.33
30.27,4.92,333.33
31.58,4.53,333.33
33.40,4.30,333.33
33.92,4.88,333.33
33.79,4.88,333.33
33.79,4.73,333.33
33.79,4.77,333.33
33.72,4.80,333.33
33.66,4.84,333.33
33.72,4.69,333.33
33.92,4.49,333.33
34.38,4.45,333.33
35.22,4.30,333.33
49.67,4.84,337.89
69.47,8.83,346.35
81.18,12.81,363.93
82.62,16.05,388.02
76.24,17.27,415.36
68.42,16.52,442.71
69.66,15.70,468.75
71.16,16.48,491.54
52.21,16.84,680.34
50.13,16.99,692.06
47.66,16.99,702.47
45.25,16.88,710.94
40.17,16.21,719.40
9.11,11.91,725.91
-4.75,8.87,711.59
-8.53,7.34,688.80
-6.77,6.21,664.06
-3.26,5.70,640.63
0.13,5.51,617.84
2.67,5.47,597.01
4.36,5.43,576.82
6.25,5.35,558.59
7.88,5.31,541.02
9.11,5.23,524.74
10.42,5.20,509.11
11.46,5.20,494.79
11.52,5.16,480.47
12.37,5.12,466.15
14.19,5.08,452.47
15.76,5.12,440.76
17.77,4.96,429.69
19.66,5.23,419.27
19.66,5.55,409.51
19.34,5.59,400.39
19.66,5.51,391.28
19.66,5.47,382.16
19.73,5.43,373.05
19.86,5.35,364.58
20.44,5.16,356.12
21.94,5.12,348.31
23.31,5.16,341.15
24.93,5.12,334.64
26.56,5.12,333.33
27.60,5.12,333.33
28.39,5.04,333.33
29.43,4.96,333.33
30.14,4.88,333.33
31.05,4.73,333.33
32.75,4.26,333.33
33.66,4.73,333.33
33.53,5.04,333.33
33.46,4.88,333.33
33.40,4.88,333.33
33.33,4.92,333.33
33.27,4.96,333.33
33.20,5.08,333.33
33.20,4.96,333.33
33.20,5.00,333.33
33.20,5.00,333.33
33.27,4.92,333.33
33.27,4.96,333.33
33.20,5.04,333.33
33.20,5.08,333.33
33.14,5.12,333.33
33.33,4.84,333.33
33.59,4.49,333.33
33.27,5.23,333.33
32.94,5.39,333.33
32.81,5.27,333.33
32.62,5.39,333.33
32.36,5.55,333.33
31.90,5.70,333.33
31.38,5.63,333.33
31.25,5.55,333.33
31.18,5.55,333.33
31.25,5.47,333.33
31.32,5.39,333.33
31.25,5.51,333.33
31.25,5.55,333.33
31.18,5.55,333.33
31.18,5.51,333.33
31.38,5.20,333.33
31.97,4.73,333.33
31.84,5.31,333.33
31.58,5.51,333.33
31.45,5.39,333.33
31.38,5.47,333.33
31.18,5.55,333.33
30.99,5.66,333.33
30.66,5.59,333.33
30.66,5.43,333.33
30.66,5.47,333.33
30.73,5.35,333.33
30.73,5.27,333.33
30.79,5.35,333.33
30.86,5.27,333.33
30.92,5.20,333.33
43.16,5.90,333.98
63.09,8.98,339.84
76.82,12.03,356.77
79.95,15.51,377.60
75.72,17.15,402.99
68.03,17.11,428.39
64.97,16.37,451.82
66.21,16.25,473.96
66.02,16.76,494.79
64.26,16.99,514.97
62.04,16.95,535.16
60.03,16.72,554.04
58.27,16.56,571.61
57.29,16.48,587.89
56.18,16.60,603.52
54.82,16.72,617.84
53.39,16.76,631.51
52.02,16.72,644.53
50.72,16.48,656.90
49.67,16.17,668.62
48.89,16.56,678.39
47.92,16.84,687.50
45.70,16.68,697.27
11.46,12.54,706.38
-7.03,8.48,694.66
-9.64,6.88,670.57
-6.97,5.74,645.83
-3.12,5.23,621.74
0.78,5.04,598.96
4.62,5.04,578.78
6.90,5.08,560.55
8.59,5.08,543.62
9.38,5.04,527.34
10.94,5.00,511.72
12.11,5.04,497.40
13.35,5.00,483.72
15.36,4.80,470.70
17.58,5.04,459.64
17.71,5.35,449.22
17.32,5.35,438.80
17.51,5.23,428.39
17.77,5.16,417.97
17.84,5.12,407.55
18.16,5.08,397.14
19.01,4.92,387.37
20.64,4.96,378.26
22.01,5.04,370.44
22.72,5.08,363.28
22.98,5.08,356.12
23.37,5.08,349.61
23.83,5.08,343.10
24.35,5.08,336.59
25.39,4.96,333.33
27.28,4.73,333.33
28.06,5.04,333.33
27.93,5.27,333.33
27.93,5.23,333.33
28.06,5.12,333.33
28.06,5.08,333.33
28.13,5.04,333.33
28.26,4.96,333.33
28.84,4.77,333.33
29.62,4.77,333.33
30.14,4.69,333.33
30.73,4.65,333.33
31.12,4.65,333.33
31.25,4.73,333.33
31.25,4.73,333.33
31.38,4.73,333.33
31.51,4.61,333.33
32.75,4.06,333.33
33.66,4.45,333.33
33.40,4.92,333.33
33.27,4.77,333.33
33.14,4.77,333.33
33.07,4.84,333.33
33.01,4.84,333.33
33.07,4.84,333.33
33.14,4.65,333.33
33.14,4.65,333.33
33.20,4.65,333.33
33.20,4.57,333.33
33.14,4.69,333.33
33.07,4.84,333.33
33.01,4.92,333.33
32.94,5.04,333.33
33.07,4.92,333.33
33.33,4.41,333.33
33.07,4.88,333.33
32.75,5.35,333.33
32.68,5.20,333.33
32.62,5.20,333.33
32.49,5.27,333.33
32.29,5.35,333.33
32.03,5.35,333.33
32.03,5.20,333.33
31.97,5.23,333.33
32.03,5.20,333.33
32.03,5.16,333.33
31.97,5.23,333.33
31.97,5.27,333.33
31.90,5.27,333.33
31.90,5.20,333.33
32.23,4.80,333.33
33.01,4.34,333.33
33.07,4.92,333.33
32.88,5.08,333.33
42.51,5.27,335.94
62.76,8.71,339.84
75.59,11.95,355.47
79.75,15.27,376.30
77.08,17.07,401.69
69.40,17.30,427.73
64.91,16.37,451.82
67.06,15.98,475.26
67.84,16.52,496.09
66.54,17.07,517.58
62.17,17.30,537.76
57.94,16.88,555.99
57.88,16.13,574.22
58.85,16.02,591.80
