Flow (l/min), Pressure (cmH2O), Volume (ml)

29.75,5.12,333.33
29.62,5.12,333.33
29.62,5.08,333.33
29.62,5.00,333.33
29.75,4.88,333.33
29.95,4.77,333.33
30.27,4.69,333.33
30.92,4.73,333.33
30.99,4.84,333.33
30.92,4.92,333.33
43.75,5.51,334.64
67.58,10.39,337.24
76.56,15.12,350.91
76.50,17.93,372.40
71.68,18.87,397.14
68.03,18.63,421.22
67.97,18.40,445.31
67.90,18.28,468.75
67.58,18.20,491.54
67.19,18.32,514.32
66.73,18.52,535.81
65.89,18.63,557.29
64.78,18.55,579.43
63.61,18.16,600.91
64.39,17.50,623.05
65.49,17.50,643.88
66.02,17.66,665.36
66.67,17.73,686.85
67.06,17.89,708.98
67.38,18.36,730.47
65.82,18.91,751.30
56.64,18.40,772.14
0.59,12.30,785.81
-12.96,7.58,768.88
-12.30,6.33,741.54
-8.14,5.47,714.84
-3.58,5.04,690.10
2.08,4.77,667.32
8.01,4.88,649.09
10.09,5.39,632.16
9.64,5.51,615.89
8.46,5.35,600.26
9.51,4.92,584.64
13.09,4.61,570.31
17.25,4.65,557.94
19.79,4.92,548.83
20.96,5.16,539.71
21.09,5.20,531.25
20.77,5.16,523.44
21.09,5.04,514.97
21.88,4.88,507.16
23.96,4.84,500.65
25.33,5.20,494.14
24.67,5.43,488.28
23.44,5.39,481.77
22.92,5.16,475.91
23.44,4.88,469.40
24.93,4.80,463.54
26.63,4.88,458.33
27.34,5.08,453.78
27.41,5.23,449.87
26.95,5.35,445.31
26.43,5.35,440.76
26.04,5.27,436.20
26.30,5.00,432.29
27.21,4.80,427.73
27.99,4.96,423.83
28.13,5.16,419.92
27.73,5.31,416.02
27.28,5.31,412.11
28.71,5.08,389.97
28.39,5.23,386.72
28.06,5.27,382.81
28.06,5.08,380.21
28.19,5.08,376.95
28.13,5.08,373.05
28.13,5.04,369.79
28.19,5.00,366.54
28.26,4.96,363.28
28.26,4.92,359.38
28.45,4.88,356.12
28.84,4.84,353.52
29.30,4.84,350.26
29.43,4.92,347.66
29.36,5.00,345.05
29.30,5.08,342.45
29.23,5.08,339.84
29.30,4.92,337.24
29.23,4.96,333.98
29.17,5.00,333.33
29.17,5.04,333.33
29.17,5.04,333.33
29.17,5.04,333.33
29.17,5.04,333.33
29.17,4.92,333.33
29.36,4.84,333.33
29.49,4.77,333.33
29.75,4.73,333.33
30.14,4.77,333.33
30.21,4.88,333.33
30.27,4.84,333.33
30.27,4.88,333.33
30.14,5.04,333.33
30.01,5.12,333.33
29.88,5.16,333.33
29.56,5.20,333.33
29.36,5.12,333.33
29.36,5.00,333.33
29.56,4.88,333.33
29.95,4.77,333.33
30.34,4.77,333.33
30.60,4.84,333.33
30.53,4.92,333.33
30.53,4.96,333.33
30.66,4.88,333.33
30.53,4.96,333.33
30.40,5.08,333.33
30.34,5.12,333.33
30.14,5.20,333.33
29.95,5.20,333.33
29.75,5.16,333.33
29.82,5.04,333.33
29.95,4.88,333.33
30.14,4.80,333.33
30.40,4.80,333.33
30.60,4.84,333.33
30.60,4.92,333.33
30.60,4.92,333.33
30.73,4.80,333.33
30.73,4.92,333.33
43.55,5.90,333.33
65.69,11.41,333.33
69.73,16.52,343.10
65.10,18.59,360.03
58.33,18.91,378.26
54.23,18.32,394.53
55.34,18.09,409.51
55.53,18.52,423.18
53.71,18.83,436.20
50.26,18.79,448.57
47.59,18.44,460.29
47.33,17.97,470.70
48.24,17.81,480.47
47.98,18.24,489.58
47.07,18.48,498.05
45.83,18.48,507.16
44.73,18.52,514.97
43.55,18.55,522.14
42.25,18.52,527.99
41.21,18.36,534.51
40.30,18.20,539.71
35.42,17.58,544.92
