Flow (l/min), Pressure (cmH2O), Volume (ml)

19.92,5.08,423.83
19.92,5.16,414.71
19.73,5.20,405.60
19.99,5.00,397.14
21.09,4.80,389.32
22.40,4.96,381.51
22.72,5.08,373.70
22.59,5.12,366.54
22.33,5.12,359.38
22.46,5.08,352.21
22.98,4.92,345.70
24.15,4.77,339.19
26.50,4.77,333.98
28.52,4.77,333.33
30.34,4.53,333.33
32.49,4.26,333.33
35.22,3.63,333.33
46.68,2.93,337.89
60.61,4.80,351.56
69.92,6.45,369.79
75.13,8.16,391.28
75.07,9.22,416.67
71.03,9.41,442.71
67.45,9.02,467.45
65.69,8.44,490.89
66.54,7.93,514.32
68.03,7.66,537.76
71.55,7.77,561.20
75.39,8.55,586.59
74.54,9.02,613.28
73.37,8.87,640.63
71.94,8.95,666.67
70.70,9.06,691.41
68.88,9.14,715.49
66.28,9.30,737.63
62.76,9.45,757.81
58.53,9.38,776.04
55.27,8.91,792.97
53.71,8.71,807.94
52.15,9.02,819.66
48.89,9.73,829.43
40.17,10.43,835.29
17.77,9.26,835.29
4.23,8.09,822.27
-3.78,7.27,802.08
-6.05,6.56,777.99
-4.95,6.21,753.26
-4.82,6.13,727.86
-4.62,6.09,703.13
-5.34,5.94,677.73
-5.21,5.63,652.99
-3.91,5.31,628.26
-1.30,5.12,604.82
0.91,5.08,582.68
2.02,5.08,561.85
3.39,4.96,541.67
6.64,4.77,523.44
9.70,4.92,506.51
11.13,5.12,490.23
11.39,5.12,475.91
11.98,5.08,461.59
12.96,5.04,447.92
14.52,5.08,434.90
15.69,5.04,422.53
16.93,5.04,411.46
18.10,5.04,401.04
18.68,5.00,390.63
18.68,5.04,380.86
19.34,5.00,371.74
20.18,4.80,363.28
22.14,4.92,354.82
23.05,5.20,347.01
22.40,5.27,339.84
21.88,5.23,333.33
21.88,5.16,333.33
22.01,5.08,333.33
22.59,4.92,333.33
24.09,4.92,333.33
25.72,4.92,333.33
27.47,4.88,333.33
29.10,4.80,333.33
30.53,4.73,333.33
32.42,4.34,333.33
34.90,3.95,333.33
42.25,4.34,335.94
52.60,5.78,343.75
59.70,7.15,355.47
63.15,8.36,371.09
63.22,9.10,389.32
60.09,9.22,407.55
57.36,8.91,425.78
55.73,8.48,442.06
55.79,8.13,457.68
56.71,7.93,473.96
56.97,7.93,489.58
