Flow (l/min), Pressure (cmH2O), Volume (ml)

83.27,7.73,333.33
83.46,7.73,333.33
83.40,7.73,333.33
83.53,7.73,333.33
82.88,7.70,333.33
82.88,7.70,333.33
83.59,7.70,333.33
83.20,7.70,333.33
83.07,7.70,333.33
83.14,7.70,333.33
83.46,7.70,333.33
83.59,7.73,333.33
83.33,7.70,333.33
83.27,7.70,333.33
83.79,7.73,333.33
83.40,7.70,333.33
83.07,7.70,333.33
83.72,7.73,333.33
83.20,7.70,333.33
83.07,7.73,333.33
83.46,7.73,333.33
83.92,7.73,333.33
83.66,7.70,333.33
83.46,7.81,333.33
83.59,7.81,333.33
83.66,7.89,333.33
83.66,7.93,333.33
83.66,7.93,333.33
83.07,7.89,333.33
83.59,7.97,333.33
83.33,8.01,333.33
83.33,8.16,333.33
83.53,8.32,333.33
83.07,8.32,333.33
83.07,8.36,333.33
83.40,8.24,333.33
83.59,8.13,333.33
83.46,8.16,333.33
83.14,8.36,333.33
82.94,8.44,333.33
83.14,8.44,333.33
83.46,8.40,333.33
83.07,8.40,333.33
83.14,8.44,333.33
83.46,8.32,333.33
83.40,8.28,333.33
83.53,8.24,333.33
83.20,8.09,333.33
83.53,8.01,333.33
83.33,8.01,333.33
83.33,8.01,333.33
82.75,8.13,333.33
83.07,8.13,333.33
83.46,8.20,333.33
83.59,8.05,333.33
83.72,7.97,333.33
83.27,7.97,333.33
83.33,7.97,333.33
83.66,7.93,333.33
83.20,7.97,333.33
83.40,7.93,333.33
83.46,7.97,333.33
83.27,8.01,333.33
82.81,8.05,333.33
83.59,8.09,333.33
83.07,7.97,333.33
83.66,7.89,333.33
83.07,7.81,333.33
83.53,7.81,333.33
83.14,7.77,333.33
83.27,7.73,333.33
83.66,7.73,333.33
83.53,7.77,333.33
83.33,7.73,333.33
83.20,7.73,333.33
83.20,7.73,333.33
83.46,7.73,333.33
83.33,7.73,333.33
83.72,7.73,333.33
83.33,7.73,333.33
83.33,7.73,333.33
83.27,7.73,333.33
83.14,7.73,333.33
83.01,7.70,333.33
83.59,7.73,333.33
83.14,7.70,333.33
83.27,7.70,333.33
83.14,7.70,333.33
83.14,7.66,333.33
83.46,7.66,333.33
83.72,7.66,333.33
83.07,7.70,333.33
83.59,7.70,333.33
83.33,7.66,333.33
83.14,7.70,333.33
83.20,7.70,333.33
83.33,7.70,333.33
83.53,7.70,333.33
83.07,7.73,333.33
83.20,7.73,333.33
82.81,7.73,333.33
83.27,7.73,333.33
83.33,7.81,333.33
83.27,7.85,333.33
83.33,7.89,333.33
83.33,7.97,333.33
83.20,8.09,333.33
83.40,8.05,333.33
83.53,8.28,333.33
83.72,8.40,333.33
83.01,8.44,333.33
83.40,8.44,333.33
83.20,8.44,333.33
83.40,8.48,333.33
83.20,8.52,333.33
83.14,8.59,333.33
83.14,8.63,333.33
83.53,8.67,333.33
83.53,8.67,333.33
83.07,8.67,333.33
83.46,8.59,333.33
83.40,8.63,333.33
83.40,8.59,333.33
83.20,8.48,333.33
83.59,8.52,333.33
83.40,8.44,333.33
83.53,8.40,333.33
83.01,8.36,333.33
83.66,8.36,333.33
83.14,8.28,333.33
82.94,8.36,333.33
83.53,8.40,333.33
83.53,8.36,333.33
83.79,8.36,333.33
83.46,8.32,333.33
83.46,8.36,333.33
83.53,8.36,333.33
83.53,8.36,333.33
83.14,8.36,333.33
83.33,8.32,333.33
83.46,8.32,333.33
83.59,8.32,333.33
83.46,8.28,333.33
83.27,8.20,333.33
83.33,8.24,333.33
83.66,8.20,333.33
83.01,8.09,333.33
83.33,8.13,333.33
83.53,8.28,333.33
83.46,8.28,333.33
83.14,8.16,333.33
82.81,8.09,333.33
83.79,8.05,333.33
83.33,8.05,333.33
83.14,8.13,333.33
83.59,8.09,333.33
83.59,8.05,333.33
83.07,8.13,333.33
83.14,7.97,333.33
82.94,7.85,333.33
83.14,7.81,333.33
83.33,7.81,333.33
83.27,7.77,333.33
83.59,7.77,333.33
83.27,7.73,333.33
82.88,7.77,333.33
83.07,7.73,333.33
82.94,7.73,333.33
83.33,7.73,333.33
83.20,7.77,333.33
83.07,7.77,333.33
83.01,7.77,333.33
83.27,7.77,333.33
83.33,7.77,333.33
83.66,7.73,333.33
83.20,7.77,333.33
83.40,7.73,333.33
83.53,7.73,333.33
83.33,7.66,333.33
83.40,7.66,333.33
82.62,7.70,333.33
83.79,7.73,333.33
83.33,7.70,333.33
83.72,7.70,333.33
83.40,7.70,333.33
83.33,7.70,333.33
83.27,7.70,333.33
83.14,7.70,333.33
83.46,7.73,333.33
83.20,7.73,333.33
83.07,7.70,333.33
83.46,7.77,333.33
83.33,7.81,333.33
83.27,7.89,333.33
83.40,8.01,333.33
83.85,8.09,333.33
83.46,8.28,333.33
83.33,8.28,333.33
