Flow (l/min), Pressure (cmH2O), Volume (ml)

57.49,18.91,660.16
54.43,18.91,675.13
51.50,18.95,688.15
48.24,18.83,699.22
44.92,18.71,708.33
42.19,18.48,716.15
40.63,18.44,721.35
39.45,18.40,725.91
10.55,14.38,732.42
-19.01,9.65,718.10
-20.25,7.23,688.80
-15.04,5.98,658.20
-9.37,5.39,629.56
-4.10,5.12,604.17
0.00,5.20,580.73
2.15,5.23,559.24
3.97,5.16,539.06
5.60,5.12,520.18
7.68,5.16,502.60
8.72,5.12,485.68
9.90,5.00,470.05
11.78,4.96,455.08
14.13,4.96,441.41
16.47,5.04,429.69
16.93,5.12,418.62
17.06,5.16,407.55
16.93,5.12,396.48
17.64,4.96,386.07
19.47,4.77,376.95
21.68,5.00,367.84
22.14,5.31,359.38
21.16,5.39,351.56
20.51,5.31,343.10
20.25,5.16,335.29
20.70,5.08,333.33
21.03,4.96,333.33
22.33,4.92,333.33
23.83,5.04,333.33
24.54,5.08,333.33
24.61,5.12,333.33
24.67,5.04,333.33
25.07,5.00,333.33
25.78,5.00,333.33
26.95,4.96,333.33
28.52,4.84,333.33
29.23,5.08,333.33
29.30,5.08,333.33
29.69,4.88,333.33
30.66,4.77,333.33
31.58,4.77,333.33
32.10,4.77,333.33
32.68,4.61,333.33
33.79,4.57,333.33
34.51,4.53,333.33
34.83,4.45,333.33
35.16,4.45,333.33
35.22,4.49,333.33
35.22,4.45,333.33
35.74,4.41,333.33
55.27,5.35,337.89
78.06,10.39,347.66
88.93,15.35,368.49
86.91,18.48,397.14
78.71,19.26,427.73
71.48,18.75,456.38
72.85,18.32,483.07
73.24,18.67,509.11
71.88,18.83,534.51
70.51,18.67,559.90
69.86,18.59,584.64
68.95,18.59,608.72
67.71,18.67,632.16
66.80,18.83,654.30
65.23,18.98,675.13
63.35,18.87,696.61
61.65,18.71,716.15
60.42,18.98,733.72
57.81,19.18,750.65
53.91,19.18,765.63
50.13,19.02,777.99
30.73,16.76,790.36
-12.24,10.82,787.76
