Flow (l/min), Pressure (cmH2O), Volume (ml)

26.95,5.08,396.48
27.02,5.00,391.93
27.60,4.96,388.02
28.13,5.04,384.77
28.19,5.12,380.86
28.13,5.23,376.95
28.19,5.12,373.70
28.45,5.04,371.09
28.45,5.12,367.19
28.19,5.16,363.93
28.32,5.16,360.68
28.32,5.16,357.42
28.39,5.16,353.52
28.32,5.12,350.26
28.45,5.04,347.66
28.58,4.96,344.40
28.78,4.92,341.15
29.30,4.96,338.54
29.36,5.04,335.29
29.43,5.00,333.33
29.49,4.96,333.33
29.36,5.08,333.33
29.36,5.12,333.33
29.23,5.16,333.33
29.17,5.20,333.33
29.10,5.20,333.33
28.97,5.16,333.33
29.10,5.08,333.33
29.17,4.96,333.33
29.30,4.92,333.33
29.49,4.88,333.33
29.69,4.92,333.33
30.01,4.84,333.33
30.53,4.84,333.33
30.47,5.08,333.33
30.21,5.23,333.33
29.69,5.27,333.33
29.36,5.23,333.33
29.23,5.20,333.33
29.36,5.04,333.33
29.49,4.88,333.33
29.88,4.84,333.33
30.27,4.84,333.33
30.40,4.92,333.33
30.27,5.00,333.33
30.40,4.88,333.33
30.47,4.88,333.33
30.34,5.04,333.33
30.34,5.12,333.33
30.27,5.12,333.33
30.14,5.16,333.33
29.95,5.20,333.33
29.88,5.08,333.33
30.01,4.96,333.33
30.08,4.84,333.33
30.27,4.80,333.33
30.34,4.84,333.33
30.47,4.84,333.33
30.79,4.73,333.33
31.12,4.80,333.33
31.05,5.00,333.33
30.92,5.12,333.33
30.73,5.16,333.33
30.40,5.20,333.33
30.21,5.20,333.33
30.21,5.08,333.33
30.27,4.96,333.33
43.36,5.66,333.98
66.47,10.86,335.94
72.66,16.33,346.35
67.51,18.67,363.93
61.65,18.91,384.11
58.59,18.52,402.34
58.72,18.59,419.27
57.68,18.75,435.55
56.05,18.67,451.17
54.82,18.59,466.15
53.58,18.55,480.47
52.28,18.44,493.49
51.63,18.36,505.86
51.17,18.44,518.23
50.46,18.59,529.30
49.67,18.63,540.36
48.89,18.55,550.78
48.37,18.24,561.85
47.92,18.44,571.61
47.20,18.83,580.08
45.96,18.83,588.54
40.17,17.93,598.31
-0.78,12.58,604.17
-15.23,8.40,585.29
-8.79,5.90,561.85
5.86,4.02,540.36
19.47,3.83,527.34
25.13,4.80,520.83
24.93,5.82,513.67
21.94,6.09,506.51
20.05,5.70,498.70
20.18,5.31,490.89
21.48,4.96,483.07
23.57,4.84,475.91
25.39,5.04,470.05
25.65,5.27,464.84
25.26,5.35,459.64
24.93,5.23,454.43
25.20,5.00,448.57
26.11,4.84,444.01
27.15,4.88,439.45
27.80,5.04,435.55
27.99,5.08,431.64
28.13,5.04,428.39
28.13,5.16,425.13
27.99,5.20,421.22
27.93,5.20,417.97
27.99,5.12,414.06
28.19,5.08,410.81
28.32,4.96,407.55
28.71,4.84,404.30
29.36,4.84,401.04
29.62,4.92,398.44
29.62,5.04,396.48
29.49,5.08,393.88
29.82,4.84,391.28
30.66,4.57,389.32
31.38,4.65,388.02
31.97,4.53,386.72
32.62,4.45,386.07
33.40,4.49,385.42
34.05,4.41,385.42
34.83,4.14,375.65
47.40,4.22,336.59
73.70,8.63,345.05
88.22,13.79,363.93
89.71,17.93,389.97
82.03,19.26,421.22
74.61,18.71,452.47
76.37,17.93,482.42
77.99,18.40,510.42
77.34,18.75,539.06
76.11,18.75,567.71
75.46,18.75,596.35
74.61,18.71,624.35
73.83,18.44,652.34
73.83,18.16,679.69
74.48,18.24,707.03
74.35,18.55,733.07
73.70,18.87,759.77
72.14,18.98,785.81
70.83,18.79,811.85
69.99,18.83,835.94
68.16,19.26,858.72
58.07,18.59,881.51
1.37,12.46,896.48
-11.46,7.66,880.21
-11.91,6.76,852.86
-9.44,6.05,824.87
-6.97,5.63,798.83
-4.17,5.39,773.44
-1.82,5.39,749.35
-1.30,5.51,725.91
-1.30,5.39,703.13
0.20,5.04,681.64
2.15,4.96,660.16
4.10,5.00,639.97
5.53,5.04,621.09
6.77,4.96,603.52
8.53,4.92,586.59
10.61,4.88,570.31
13.54,4.84,556.64
16.15,4.96,544.27
17.64,5.12,532.55
17.71,5.16,522.14
17.51,5.08,511.72
18.29,4.84,501.95
21.03,4.73,493.49
22.79,5.08,485.03
22.92,5.35,477.21
21.88,5.35,470.05
21.29,5.20,462.89
21.35,4.96,455.08
22.20,4.84,447.92
23.89,4.77,441.41
25.65,4.92,435.55
26.24,5.16,429.69
25.85,5.35,424.48
25.20,5.35,419.27
25.07,5.16,414.06
25.59,4.88,409.51
26.11,4.92,404.30
26.56,5.00,399.74
26.76,5.08,395.18
26.63,5.16,390.63
26.56,5.20,385.42
26.56,5.16,381.51
26.82,5.04,376.95
27.15,4.92,373.05
27.80,4.96,369.14
28.32,5.12,365.23
28.13,5.27,361.33
28.06,5.20,358.07
28.13,5.12,354.82
28.06,5.16,351.56
28.06,5.16,348.31
28.06,5.12,344.40
28.19,5.04,341.15
28.26,5.00,337.89
28.45,4.88,335.29
29.10,4.80,333.33
29.82,4.80,333.33
30.14,4.84,333.33
30.21,4.88,333.33
30.47,4.80,333.33
31.64,4.38,333.33
33.33,4.26,333.33
34.05,4.45,333.33
34.44,4.38,333.33
34.83,4.26,333.33
38.54,4.22,333.33
63.09,6.91,339.19
81.58,11.76,352.86
88.61,16.33,375.65
84.96,18.79,404.30
75.52,19.14,434.90
68.82,18.36,462.24
70.83,18.13,486.98
70.25,18.75,510.42
64.52,19.38,531.25
52.21,19.22,548.18
47.59,18.32,560.55
49.09,18.44,570.96
48.18,18.95,579.43
44.73,18.95,588.54
41.60,18.48,595.70
40.95,18.32,601.56
