Flow (l/min), Pressure (cmH2O), Volume (ml)

33.66,4.45,333.33
33.72,4.45,333.33
33.72,4.53,333.33
33.85,4.38,333.33
34.11,4.34,333.33
34.31,4.34,333.33
34.57,4.30,333.33
34.90,4.26,333.33
35.09,4.30,333.33
35.16,4.34,333.33
46.61,4.84,335.94
66.41,8.98,341.15
77.41,12.93,356.77
79.95,15.59,379.56
78.19,17.15,406.25
71.35,17.62,432.29
63.28,16.91,456.38
64.13,16.37,477.86
65.10,16.72,498.05
64.52,16.99,518.23
63.48,17.15,538.41
61.98,16.99,557.94
60.94,16.80,577.47
60.09,16.60,595.70
59.64,16.56,613.93
58.85,16.60,630.86
58.40,16.80,647.14
57.62,17.11,662.76
56.51,17.30,678.39
54.23,17.38,692.71
51.30,17.23,705.73
49.22,16.80,718.10
47.92,16.37,729.82
15.04,12.85,739.58
-4.95,8.67,729.17
-7.03,7.19,706.38
-4.75,6.09,683.59
-0.65,5.51,661.46
3.78,5.31,640.63
6.84,5.23,622.40
9.51,5.23,606.12
10.87,5.31,590.49
11.98,5.20,576.17
13.35,4.96,562.50
15.89,5.00,550.13
18.03,5.08,539.06
19.60,5.16,529.95
20.64,5.08,520.83
23.05,4.96,513.67
25.91,4.80,508.46
28.13,5.00,503.91
28.97,5.04,500.65
29.95,4.88,498.05
30.66,4.88,496.09
31.32,4.77,494.79
31.97,4.69,494.14
32.42,4.69,493.49
33.33,4.34,494.14
34.83,4.26,445.96
47.14,4.57,337.24
68.55,8.20,345.05
82.42,12.07,363.28
85.68,15.70,388.02
82.55,17.30,417.32
76.30,17.62,447.27
69.73,17.19,474.61
68.68,16.91,498.70
68.62,17.30,521.48
64.32,17.89,542.32
54.17,17.62,559.90
49.67,16.91,573.57
50.20,17.27,583.33
49.09,17.62,593.75
44.47,17.62,602.86
38.93,17.30,608.72
36.46,16.91,612.63
36.85,16.76,615.23
37.57,16.56,618.49
37.96,16.45,621.74
38.02,16.60,624.35
37.89,16.60,626.95
37.17,16.52,630.21
12.24,13.05,635.42
-10.09,9.30,621.74
-12.50,7.19,597.66
-9.64,6.17,570.31
-6.18,5.66,544.92
-2.67,5.43,520.18
1.11,5.31,498.05
4.62,5.23,477.86
7.23,5.31,459.64
8.01,5.31,442.71
8.33,5.08,426.43
10.81,4.96,410.81
13.93,4.96,397.14
16.86,5.04,384.77
19.14,5.16,374.35
19.92,5.31,365.23
20.05,5.35,356.12
20.77,5.20,347.66
23.05,4.92,341.15
26.56,4.80,335.94
28.06,5.12,333.33
28.71,5.12,333.33
29.62,4.96,333.33
30.40,4.92,333.33
30.92,4.92,333.33
31.32,4.84,333.33
31.90,4.73,333.33
32.88,4.45,333.33
34.11,4.41,333.33
34.96,4.34,333.33
44.79,4.53,335.94
65.95,8.32,342.45
79.43,11.80,359.38
83.85,15.23,382.81
82.55,17.19,410.81
76.37,17.73,440.10
70.57,17.19,468.10
70.12,17.15,492.84
69.01,17.58,515.63
65.36,17.66,538.41
61.13,17.38,558.59
58.79,17.07,576.82
58.66,16.95,594.40
58.20,17.03,610.68
57.75,16.91,627.60
57.10,16.95,643.23
56.45,17.19,658.20
55.21,17.46,672.53
53.06,17.70,686.20
48.70,17.77,697.27
43.10,17.62,705.73
38.15,17.34,711.59
33.66,17.11,713.54
7.81,13.52,716.15
-12.50,9.73,700.52
-15.62,7.66,673.83
-12.24,6.41,645.83
-7.29,5.82,619.14
-3.91,5.66,593.75
-1.04,5.63,570.31
1.17,5.66,548.18
2.73,5.59,527.34
4.10,5.47,507.81
5.86,5.39,488.93
7.68,5.31,471.35
9.11,5.31,455.08
9.18,5.35,438.80
9.57,5.27,423.18
10.35,5.16,408.20
11.65,5.12,393.23
13.15,5.12,378.91
14.97,5.04,366.54
16.93,5.12,354.82
17.32,5.39,343.75
17.25,5.43,333.33
17.38,5.35,333.33
17.45,5.27,333.33
17.71,5.23,333.33
18.03,5.20,333.33
18.95,5.12,333.33
20.25,5.16,333.33
21.22,5.20,333.33
21.94,5.23,333.33
22.72,5.20,333.33
23.63,5.23,333.33
24.35,5.31,333.33
24.80,5.35,333.33
25.26,5.39,333.33
25.78,5.35,333.33
26.50,5.16,333.33
27.86,4.96,333.33
28.19,5.20,333.33
28.45,5.27,333.33
28.71,5.12,333.33
28.97,5.04,333.33
29.36,5.04,333.33
29.56,5.08,333.33
29.69,5.00,333.33
30.08,4.84,333.33
30.60,4.84,333.33
30.99,4.80,333.33
31.45,4.77,333.33
31.90,4.69,333.33
32.23,4.69,333.33
32.42,4.69,333.33
32.55,4.69,333.33
32.68,4.69,333.33
33.07,4.53,333.33
78.32,17.19,404.30
72.14,17.62,430.99
66.41,17.07,455.73
66.21,16.60,479.17
67.19,16.80,500.65
66.73,17.11,522.14
65.43,17.27,543.62
