Flow (l/min), Pressure (cmH2O), Volume (ml)

62.63,8.01,477.86
63.54,7.93,497.40
64.71,8.01,518.23
65.23,7.89,539.06
66.47,7.85,561.20
68.29,7.89,583.98
68.55,8.05,606.77
67.64,8.05,630.21
67.84,7.97,652.99
67.71,8.09,675.78
65.69,8.40,697.27
57.88,8.79,715.49
45.77,8.87,727.21
15.89,6.76,731.77
-3.19,5.98,712.89
-3.84,5.35,688.80
-2.47,5.47,664.71
-2.21,5.74,641.28
-3.91,6.02,615.89
-4.69,5.94,591.15
-4.75,5.74,566.41
-2.60,5.51,541.67
0.65,5.39,518.88
5.92,5.47,498.70
9.90,5.55,481.77
11.98,5.66,467.45
12.70,5.70,453.13
13.61,5.66,440.10
13.87,5.66,427.08
14.58,5.70,414.06
15.43,5.70,401.69
15.69,5.70,389.97
16.08,5.66,378.26
16.60,5.63,367.19
17.25,5.59,356.12
18.42,5.51,345.70
20.12,5.31,336.59
22.33,5.12,333.33
24.74,5.04,333.33
26.82,4.92,333.33
29.49,4.53,333.33
44.92,4.22,338.54
65.30,5.78,350.26
72.53,7.62,369.79
68.42,8.36,392.58
63.09,8.20,414.71
63.15,8.01,434.90
63.93,8.09,455.08
63.61,8.01,475.26
65.43,7.97,496.09
66.41,8.01,517.58
66.73,8.01,540.36
66.41,7.97,562.50
67.38,7.97,584.64
66.93,8.13,606.77
65.95,8.20,628.91
63.48,8.36,649.09
57.75,8.59,666.67
47.07,8.95,678.39
12.11,6.56,683.59
-9.44,5.74,660.81
-8.85,5.39,633.46
-6.38,5.66,605.47
-5.66,5.86,578.78
-4.04,5.78,553.39
-1.04,5.74,529.95
2.47,5.74,508.46
5.40,5.74,488.93
7.81,5.86,470.70
9.31,5.90,454.43
10.29,5.90,438.80
11.59,5.90,423.83
11.72,5.94,409.51
12.04,5.90,395.18
12.96,5.82,381.51
13.80,5.74,368.49
15.17,5.63,356.12
16.80,5.55,345.05
17.45,5.55,333.98
18.10,5.51,333.33
19.08,5.47,333.33
20.70,5.31,333.33
23.18,5.08,333.33
25.72,4.92,333.33
28.52,4.65,333.33
41.02,3.95,336.59
66.15,4.84,349.61
81.97,6.68,374.35
84.11,7.85,404.30
80.01,8.40,435.55
77.15,7.93,466.80
78.13,7.93,496.09
79.69,8.01,526.69
80.99,7.89,557.94
81.84,8.01,589.84
81.12,8.09,621.74
80.66,8.09,653.65
79.69,8.16,684.90
77.28,8.32,714.19
74.22,8.16,742.84
73.11,8.20,769.53
70.44,8.28,794.92
68.16,8.28,819.01
65.56,8.36,841.15
62.50,8.40,861.33
57.03,8.55,878.26
47.79,8.98,889.97
3.32,6.45,892.58
-13.87,5.39,863.93
12.96,4.22,843.10
28.84,3.63,836.59
33.46,3.83,835.29
33.20,4.34,835.29
32.42,4.73,835.29
31.51,4.92,833.98
30.86,5.00,832.68
30.47,4.96,830.73
30.66,4.92,828.78
8.01,8.01,815.10
-32.88,7.89,779.95
-23.76,6.25,742.84
-9.37,5.35,712.24
1.37,5.39,688.15
6.71,5.66,668.62
8.07,5.94,650.39
8.66,5.98,634.11
8.92,5.98,617.84
9.44,5.94,601.56
9.38,6.17,584.64
11.07,5.59,570.31
20.96,4.80,333.33
20.70,7.93,333.33
17.38,7.77,333.33
19.01,8.05,333.33
19.27,8.24,333.33
17.58,8.28,333.33
17.71,8.05,333.33
7.16,6.41,333.33
6.97,5.27,333.33
14.65,4.57,333.33
20.70,5.59,333.33
21.81,5.35,333.33
23.11,5.27,333.33
23.24,5.47,333.33
22.92,5.59,333.33
22.79,5.59,333.33
22.66,5.55,333.33
22.98,5.35,333.33
23.83,5.23,333.33
24.28,5.27,333.33
24.48,5.39,333.33
24.15,5.47,333.33
24.09,5.47,333.33
24.48,5.31,333.33
25.46,5.08,333.33
26.89,5.00,333.33
27.86,4.96,333.33
28.26,5.00,333.33
28.52,5.04,333.33
27.73,5.39,333.33
21.48,5.47,333.33
21.68,5.47,333.33
22.14,5.43,333.33
22.59,5.39,333.33
22.85,5.39,333.33
22.92,5.43,333.33
22.85,5.51,333.33
22.66,5.51,333.33
22.98,5.35,333.33
23.89,5.20,333.33
24.93,5.12,333.33
26.37,5.08,333.33
27.41,5.00,333.33
28.65,4.88,333.33
29.82,4.69,333.33
36.07,4.38,334.64
54.62,5.51,341.80
65.63,7.19,356.77
63.28,8.28,375.00
57.55,8.32,392.58
56.38,7.93,408.85
58.72,7.89,425.13
61.26,7.89,443.36
63.09,7.89,462.24
63.15,7.97,482.42
64.06,7.85,502.60
65.89,7.77,524.09
67.84,7.81,546.22
68.88,7.93,569.66
69.47,7.97,593.10
68.95,8.24,616.54
64.19,8.52,638.02
55.99,8.59,655.60
