Flow (l/min), Pressure (cmH2O), Volume (ml)

31.77,4.96,333.33
31.71,4.92,333.33
31.58,5.04,333.33
31.45,5.16,333.33
31.12,5.20,333.33
31.12,5.00,333.33
31.18,4.88,333.33
31.25,4.84,333.33
31.18,4.88,333.33
31.12,4.92,333.33
31.18,4.96,333.33
31.18,4.96,333.33
31.32,4.77,333.33
32.23,4.26,333.33
32.94,4.65,333.33
32.75,4.96,333.33
32.75,4.84,333.33
32.75,4.88,333.33
32.62,5.04,333.33
32.55,5.16,333.33
32.55,5.00,333.33
32.81,4.69,333.33
33.27,4.34,333.33
34.70,4.02,333.33
47.33,4.38,337.24
69.21,8.59,345.70
82.03,12.38,363.93
84.64,15.74,388.67
81.38,16.91,418.62
77.28,17.03,448.57
73.83,16.80,477.21
72.85,16.41,505.21
73.11,16.45,531.25
72.20,16.60,557.29
71.22,16.64,582.68
70.38,16.68,607.42
69.47,16.68,631.51
68.68,16.72,655.60
67.58,16.84,678.39
66.02,17.15,699.87
61.91,17.34,719.40
55.86,17.23,736.98
50.85,16.99,750.65
47.27,17.03,761.07
43.68,17.03,768.88
39.58,17.38,773.44
31.38,16.95,776.04
0.26,12.54,776.69
-18.49,8.67,756.51
-15.89,6.60,728.52
-11.00,5.66,699.87
-6.84,5.31,673.18
-2.54,5.20,648.44
1.43,5.16,625.65
3.97,5.20,605.47
5.73,5.20,586.59
7.68,5.12,569.01
9.90,5.12,552.73
11.59,5.16,537.76
13.48,5.00,524.09
15.63,5.12,511.72
16.08,5.35,499.35
16.15,5.27,488.28
16.54,5.12,477.21
16.99,5.04,466.15
17.71,5.04,455.73
18.62,4.96,445.96
20.05,4.88,436.20
22.07,4.96,428.39
23.63,5.08,421.22
27.73,5.31,368.49
27.73,5.31,364.58
27.80,5.23,361.33
27.86,5.16,358.07
27.99,5.04,354.17
28.26,4.92,350.91
28.71,5.04,347.66
28.91,5.08,344.40
28.84,5.08,341.80
28.91,5.08,338.54
30.08,4.88,333.33
30.21,4.84,333.33
30.21,4.88,333.33
30.14,4.92,333.33
30.14,4.88,333.33
30.34,4.80,333.33
31.12,4.38,333.33
32.29,4.49,333.33
32.16,4.92,333.33
32.10,4.88,333.33
32.03,4.88,333.33
32.03,5.00,333.33
31.84,5.12,333.33
31.64,5.12,333.33
31.58,4.96,333.33
31.64,4.92,333.33
31.64,4.88,333.33
31.64,4.88,333.33
31.64,4.96,333.33
31.58,5.04,333.33
31.58,5.00,333.33
31.77,4.77,333.33
32.42,4.30,333.33
32.88,4.73,333.33
32.75,4.96,333.33
32.75,4.88,333.33
32.68,4.92,333.33
32.62,5.08,333.33
32.49,5.20,333.33
32.49,5.12,333.33
32.49,5.04,333.33
41.67,5.39,334.64
61.85,8.95,337.89
72.85,12.58,350.91
75.46,15.59,370.44
71.55,16.80,393.88
65.82,16.60,417.97
65.56,15.70,441.41
67.51,15.47,464.19
68.29,15.94,486.33
67.97,16.21,509.11
67.51,16.33,531.25
66.47,16.45,553.39
65.17,16.56,574.87
63.80,16.48,595.70
62.70,16.25,616.54
61.85,16.05,636.07
61.59,16.02,654.95
61.00,16.21,673.18
60.16,16.52,690.10
58.92,16.72,707.68
56.51,16.80,723.31
53.45,16.84,737.63
49.61,16.56,750.65
11.78,13.01,760.42
-13.22,8.44,746.09
-14.26,6.80,718.75
-10.87,5.82,691.41
-7.62,5.31,664.71
-4.17,5.08,639.32
0.00,5.04,615.89
3.32,5.04,595.05
6.38,5.08,575.52
8.66,5.08,558.59
10.42,5.08,542.97
11.65,5.08,527.99
13.35,5.04,514.32
14.52,5.04,501.30
16.86,4.88,489.58
19.14,5.08,479.82
19.53,5.39,469.40
19.21,5.39,460.29
19.14,5.27,451.17
19.47,5.16,442.06
19.66,5.12,432.94
20.31,5.08,424.48
21.94,4.96,416.02
23.63,5.04,408.85
24.80,5.12,402.99
25.26,5.20,397.14
25.52,5.23,391.93
25.72,5.27,386.72
25.98,5.23,381.51
26.30,5.12,376.95
27.47,4.80,373.05
28.39,5.04,369.79
28.26,5.31,365.23
28.26,5.27,361.98
28.19,5.23,358.72
28.06,5.31,355.47
27.99,5.39,351.56
28.06,5.27,348.31
28.26,5.08,345.70
28.52,4.88,342.45
29.17,4.80,339.19
29.62,4.92,336.59
29.56,5.08,333.98
29.49,5.08,333.33
29.56,5.04,333.33
30.01,4.73,333.33
31.05,4.45,333.33
31.18,4.84,333.33
31.12,5.00,333.33
31.12,4.96,333.33
30.99,5.04,333.33
30.86,5.16,333.33
30.66,5.20,333.33
30.60,5.04,333.33
30.66,4.92,333.33
30.79,4.80,333.33
30.86,4.80,333.33
30.79,4.88,333.33
30.73,5.00,333.33
30.79,4.96,333.33
30.86,4.84,333.33
31.64,4.34,333.33
32.36,4.61,333.33
32.23,4.96,333.33
32.16,4.88,333.33
32.16,4.88,333.33
32.10,5.00,333.33
31.97,5.12,333.33
31.84,5.08,333.33
31.90,4.92,333.33
31.97,4.88,333.33
31.97,4.84,333.33
31.97,4.88,333.33
31.90,5.00,333.33
31.84,5.08,333.33
31.90,5.00,333.33
32.16,4.65,333.33
32.81,4.34,333.33
33.01,4.88,333.33
32.81,5.00,333.33
32.75,4.88,333.33
32.75,5.00,333.33
32.62,5.12,333.33
32.49,5.23,333.33
40.10,5.35,333.33
60.61,8.59,337.24
72.66,12.11,350.26
76.56,15.23,369.79
73.50,16.91,392.58
66.54,16.95,417.32
64.32,16.09,440.10
66.02,15.59,462.89
67.38,15.47,485.68
68.10,15.74,507.81
68.10,16.21,529.95
67.97,16.41,552.73
67.25,16.48,574.87
66.34,16.52,597.01
65.63,16.52,619.14
64.97,16.41,640.63
64.39,16.21,662.11
63.80,16.09,682.94
63.54,16.09,703.13
63.09,16.33,722.01
62.57,16.68,740.89
61.00,16.95,759.11
57.94,16.99,776.69
27.34,13.48,794.27
-5.40,8.28,789.71
-9.70,7.34,764.97
-10.87,6.33,738.28
-9.11,5.74,711.59
-7.16,5.35,684.90
-4.88,5.16,658.85
-1.89,5.08,634.77
1.17,5.00,612.63
