Flow (l/min), Pressure (cmH2O), Volume (ml)

30.53,4.80,333.33
30.79,4.80,333.33
30.86,4.84,333.33
30.86,4.92,333.33
30.79,5.00,333.33
30.86,4.92,333.33
31.58,4.38,333.33
33.01,4.41,333.33
32.94,5.08,333.33
32.49,5.04,333.33
32.49,4.96,333.33
32.36,5.04,333.33
32.16,5.20,333.33
32.16,5.12,333.33
32.49,4.73,333.33
33.27,4.41,333.33
34.38,4.30,333.33
36.07,4.10,333.33
54.56,5.35,339.19
73.63,9.14,350.91
86.20,12.70,373.05
89.91,15.51,402.34
86.52,17.23,434.24
79.49,17.46,466.80
75.46,16.88,497.40
77.08,16.64,526.69
76.89,17.11,554.69
74.54,17.27,582.68
71.74,17.07,609.38
70.77,16.80,635.42
70.44,16.91,659.51
69.40,17.23,683.59
66.02,17.38,705.73
61.85,17.34,725.91
58.46,17.30,744.14
54.95,17.27,759.77
50.72,17.62,771.48
42.64,17.66,780.60
35.16,17.19,784.51
33.79,17.19,785.16
24.15,16.05,786.46
-10.09,11.21,781.25
-21.29,7.93,755.21
-18.10,6.21,724.61
-12.37,5.47,694.66
-8.27,5.16,666.67
-4.56,5.08,640.63
-1.11,5.08,616.54
1.50,5.04,594.40
4.95,4.96,574.87
8.85,4.96,557.29
10.68,5.27,541.02
10.55,5.35,525.39
10.81,5.16,511.07
11.72,4.96,496.74
13.48,5.04,483.07
14.26,5.08,470.05
15.30,4.92,457.68
17.97,4.88,446.61
20.25,5.04,436.85
21.42,5.16,428.39
21.61,5.20,420.57
21.74,5.12,412.76
22.33,5.08,405.60
24.15,4.88,399.09
26.63,4.92,393.88
27.15,5.39,388.67
26.82,5.55,384.11
26.63,5.51,379.56
26.63,5.47,375.65
26.43,5.55,370.44
26.37,5.47,365.89
26.76,5.23,361.98
27.15,5.04,358.72
27.67,5.08,354.82
27.86,5.12,350.91
27.86,5.16,347.01
27.86,5.12,343.75
28.13,4.96,340.49
29.75,4.53,337.24
30.40,4.88,335.29
30.01,5.20,333.33
29.69,5.16,333.33
29.56,5.12,333.33
29.56,5.20,333.33
29.36,5.27,333.33
29.36,5.08,333.33
29.62,4.88,333.33
30.01,4.84,333.33
30.14,4.88,333.33
30.14,4.92,333.33
30.14,5.00,333.33
30.14,4.96,333.33
30.60,4.61,333.33
32.29,4.30,333.33
32.36,4.88,333.33
31.84,5.08,333.33
31.64,4.96,333.33
31.58,5.00,333.33
31.45,5.12,333.33
31.05,5.16,333.33
31.12,4.92,333.33
31.32,4.77,333.33
31.51,4.80,333.33
31.51,4.84,333.33
31.45,4.92,333.33
31.38,5.00,333.33
31.51,4.84,333.33
32.55,4.22,333.33
33.59,4.57,333.33
33.40,4.96,333.33
33.40,4.65,333.33
33.98,4.34,333.33
34.90,4.18,333.33
44.92,4.30,336.59
67.45,7.54,345.70
82.81,11.05,364.58
88.80,14.73,389.97
87.30,16.88,421.22
82.42,17.38,453.78
77.93,17.11,485.68
77.60,16.76,515.63
77.93,16.76,545.57
77.47,17.03,574.22
75.52,17.42,602.21
70.83,17.27,628.91
68.42,16.91,654.30
68.10,16.95,677.08
66.60,17.30,698.57
62.76,17.42,719.40
58.40,17.30,737.63
54.69,17.34,753.26
50.46,17.54,764.97
44.73,17.54,774.74
38.87,17.30,780.60
35.68,17.07,783.85
34.44,16.80,785.81
10.81,13.05,789.71
-14.71,9.49,774.09
-19.27,7.30,745.44
-15.43,6.13,714.84
-11.39,5.59,685.55
-6.90,5.35,658.20
-3.39,5.23,632.81
-0.85,5.12,609.38
2.47,5.08,587.89
5.73,5.08,569.01
8.33,5.12,551.43
9.57,5.12,535.16
10.94,5.08,520.18
12.43,5.04,505.86
15.10,4.88,492.84
18.03,5.08,481.12
18.75,5.43,470.70
18.10,5.43,460.94
18.03,5.27,451.17
18.10,5.16,440.76
18.62,5.12,430.99
19.47,5.04,421.88
21.09,4.96,413.41
23.24,5.00,405.60
24.80,5.12,399.09
25.20,5.23,393.88
25.33,5.27,388.02
25.59,5.27,382.81
25.85,5.20,378.26
27.21,4.80,374.35
28.45,5.00,370.44
28.19,5.35,365.89
28.06,5.39,362.63
27.93,5.31,359.38
27.86,5.35,355.47
27.67,5.43,351.56
27.80,5.31,348.31
28.06,5.04,345.05
28.58,4.96,342.45
28.91,5.04,339.19
28.91,5.08,335.94
28.84,5.12,333.33
28.84,5.08,333.33
30.66,4.80,333.33
30.79,4.88,333.33
30.73,4.96,333.33
30.66,5.00,333.33
30.73,4.88,333.33
31.71,4.34,333.33
33.01,4.49,333.33
32.75,5.08,333.33
32.36,5.04,333.33
32.36,5.00,333.33
56.51,4.53,340.49
76.11,9.26,352.86
86.26,13.20,374.35
88.15,15.98,402.99
84.77,17.19,435.55
79.30,17.30,467.45
76.56,16.91,497.40
77.34,16.76,527.34
77.28,17.03,555.99
75.39,17.23,583.98
72.33,17.30,610.68
69.60,17.15,636.07
67.77,16.99,660.16
66.47,16.99,682.29
65.49,17.03,704.43
62.76,17.62,723.31
53.32,17.70,739.58
45.05,17.15,750.65
44.27,17.23,757.81
41.08,17.46,763.67
36.46,17.19,767.58
35.16,16.95,770.18
29.62,15.82,773.44
-0.98,11.37,772.79
-16.67,8.36,750.65
-16.34,6.72,722.01
-12.70,5.82,692.71
-8.46,5.35,664.71
-3.65,5.08,639.32
1.17,5.08,616.54
3.71,5.27,595.70
4.23,5.20,576.17
5.79,5.04,557.94
7.81,5.04,540.36
9.51,5.08,523.44
10.55,5.00,508.46
12.76,4.88,494.14
15.69,4.92,481.77
18.03,5.08,470.05
18.88,5.20,460.29
18.95,5.16,450.52
19.34,5.08,441.41
20.51,5.04,432.29
23.11,4.84,425.13
25.20,5.12,418.62
25.07,5.51,412.11
24.67,5.55,406.25
24.61,5.47,401.04
24.41,5.47,395.18
24.35,5.47,388.67
24.61,5.31,383.46
25.07,5.08,378.26
26.17,5.00,373.70
26.95,5.12,368.49
27.21,5.16,364.58
27.28,5.20,360.03
27.41,5.16,356.12
27.86,4.92,352.86
29.75,4.61,350.91
