Flow (l/min), Pressure (cmH2O), Volume (ml)

0.91,4.73,1013.02
3.19,4.80,992.19
4.56,4.84,972.01
5.60,4.92,953.13
6.51,4.92,934.90
8.33,4.80,917.97
9.31,4.88,901.69
8.59,5.04,885.42
8.40,5.04,868.49
8.59,4.92,852.21
9.64,4.80,836.59
11.07,4.73,821.61
12.83,4.53,807.94
14.97,4.49,794.92
14.71,4.73,781.90
13.74,4.92,768.88
12.83,4.88,755.21
12.96,4.80,742.19
13.41,4.73,728.52
14.84,4.49,716.80
15.95,4.49,705.08
16.08,4.53,693.36
17.25,4.34,682.29
19.73,4.02,673.18
22.59,3.83,333.33
31.90,3.79,333.33
65.36,5.63,341.80
94.86,8.59,366.54
101.43,10.98,404.30
96.61,11.84,445.96
92.64,12.11,485.68
91.15,12.03,524.74
90.17,12.23,562.50
88.15,12.07,600.26
88.93,12.23,636.07
86.85,12.34,672.53
84.24,12.15,707.68
84.31,12.11,741.54
83.33,12.34,774.74
79.88,12.34,806.64
76.63,12.46,836.59
68.42,12.89,861.33
37.30,11.45,881.51
-21.61,5.86,873.70
-1.95,4.14,847.01
14.00,3.48,829.43
18.75,3.55,819.01
19.92,3.95,809.90
19.99,4.26,800.78
19.79,4.26,791.67
20.96,4.14,783.20
21.29,4.18,775.39
21.09,4.38,766.93
18.88,4.77,757.16
15.82,4.96,746.09
15.04,4.73,734.38
18.95,3.87,333.33
40.17,3.83,335.94
69.60,8.01,341.80
65.76,11.60,356.77
47.53,12.38,369.14
39.45,11.95,376.30
40.04,11.95,380.21
17.90,9.22,388.02
-11.98,5.70,372.40
7.88,3.63,352.21
23.83,2.70,341.15
30.99,2.54,337.89
34.11,2.62,337.89
34.90,2.81,338.54
31.90,4.14,338.54
27.47,4.57,335.94
28.13,3.63,333.33
32.49,2.66,333.33
36.33,1.88,333.33
39.78,1.45,333.98
66.86,3.32,345.05
95.83,7.46,370.44
100.46,10.98,406.25
89.39,11.99,444.01
82.10,12.15,477.86
79.56,12.23,509.11
77.67,12.19,539.06
77.15,12.19,568.36
75.91,12.27,597.01
74.41,12.23,625.00
73.31,12.27,651.69
69.53,12.81,675.78
47.79,12.30,695.96
-21.35,6.33,695.31
-13.67,4.88,663.41
7.75,3.52,641.93
21.22,3.09,630.86
23.11,3.63,623.70
25.46,3.59,617.19
27.15,3.52,612.63
28.91,3.44,609.38
28.58,3.98,606.12
27.21,4.02,602.21
30.53,3.05,599.61
36.13,1.76,572.92
53.32,1.48,338.54
90.69,6.37,359.38
92.64,11.02,388.02
75.85,12.03,417.97
77.08,10.63,449.22
103.65,10.08,488.93
111.39,12.77,533.85
65.76,14.38,568.36
-19.60,6.76,576.17
8.79,3.95,555.34
31.51,2.62,550.13
31.64,3.05,549.48
29.43,3.75,547.53
25.26,4.61,541.67
14.65,6.09,528.65
-0.20,6.99,507.81
-6.77,6.64,483.72
-6.90,6.02,458.33
-4.04,5.51,434.24
-2.54,5.35,410.16
-1.82,5.43,386.07
-1.82,5.51,362.63
-1.04,5.39,339.84
0.78,5.16,333.33
2.67,5.00,333.33
4.56,4.96,333.33
6.18,4.96,333.33
7.55,4.88,333.33
8.79,4.84,333.33
10.94,4.65,333.33
11.98,4.77,333.33
12.11,4.77,333.33
13.09,4.61,333.33
14.71,4.45,333.33
15.82,4.45,333.33
16.80,4.38,333.33
18.42,4.26,333.33
19.66,4.22,333.33
19.66,4.34,333.33
19.21,4.45,333.33
19.27,4.41,333.33
19.53,4.38,333.33
20.05,4.26,333.33
21.09,4.14,333.33
20.64,4.38,333.33
20.25,4.45,333.33
20.44,4.34,333.33
20.38,4.38,333.33
19.99,4.49,333.33
26.69,3.52,333.33
56.18,5.16,337.24
72.33,9.77,348.31
56.64,12.19,362.63
41.73,12.19,372.40
36.52,11.84,376.30
36.59,11.80,378.91
1.76,7.07,382.16
3.39,4.53,365.89
17.51,3.28,352.86
23.50,3.16,345.05
29.36,2.66,340.49
34.64,2.23,339.84
36.98,1.99,341.15
36.20,2.70,343.75
35.87,2.54,345.70
34.83,3.01,347.01
33.40,3.28,347.01
33.66,3.09,347.01
38.80,2.97,335.29
65.43,5.86,338.54
69.14,10.90,349.61
48.37,12.15,362.63
42.25,11.60,371.09
47.01,11.60,378.26
51.69,11.88,388.02
55.27,11.99,401.69
55.40,11.99,416.67
57.62,11.91,432.29
58.27,12.11,447.92
56.71,12.15,464.19
55.21,11.99,479.82
57.42,11.76,495.44
60.68,11.84,512.37
62.37,11.99,531.25
63.67,11.84,551.43
64.39,11.99,571.61
63.09,12.15,591.15
62.50,11.99,611.33
63.93,11.76,631.51
67.64,11.72,653.65
69.73,11.80,677.08
72.20,11.60,702.47
76.24,11.60,729.82
78.45,11.84,759.11
78.19,12.07,788.41
75.98,12.03,817.71
75.39,11.95,845.70
75.52,11.95,873.70
76.24,11.91,902.34
75.78,12.23,930.34
71.88,12.23,957.03
70.18,12.03,982.42
69.40,12.23,1006.51
66.41,12.30,1029.30
62.04,12.23,1050.13
60.22,12.19,1068.36
58.92,12.27,1085.94
55.08,12.38,1100.91
49.87,12.38,1113.93
14.39,8.36,1126.30
-15.56,6.68,1103.52
-7.36,4.84,1078.13
11.78,3.36,1061.85
25.65,2.66,1055.34
30.14,3.20,1050.78
27.54,4.49,1044.27
21.55,5.12,1036.46
18.23,5.04,1027.99
14.52,5.47,1014.97
7.75,6.13,998.05
6.32,5.51,981.77
11.13,4.65,968.10
13.41,4.69,954.43
19.01,3.75,333.33
44.92,4.30,337.89
68.10,8.87,345.70
54.04,12.50,355.47
26.17,12.70,358.07
20.05,11.21,353.52
36.98,10.59,351.56
56.32,11.09,360.03
64.91,11.72,377.60
68.10,11.52,400.39
73.31,11.56,425.13
76.63,11.80,452.47
75.98,12.15,480.47
70.57,12.46,506.51
63.48,12.23,529.30
59.90,12.19,547.53
58.07,12.19,565.10
55.47,12.23,580.73
51.56,12.34,593.75
48.96,11.95,605.47
49.67,12.03,615.89
49.35,12.19,626.30
33.72,10.82,638.02
-14.65,6.56,630.21
-15.43,5.66,598.96
-11.52,5.23,567.71
