Flow (l/min), Pressure (cmH2O), Volume (ml)

72.27,14.80,358.72
72.40,16.29,380.86
71.09,16.72,405.60
68.10,17.03,428.39
64.97,16.95,451.17
62.89,16.45,472.66
63.22,16.09,492.84
63.48,16.02,513.67
63.48,15.90,533.85
64.00,15.82,554.04
64.39,15.70,574.87
64.78,15.70,596.35
65.17,15.86,616.54
65.17,16.05,637.37
65.76,16.21,658.20
65.69,16.25,679.69
65.89,16.13,701.82
65.23,16.68,722.01
63.67,17.07,741.54
61.20,16.95,761.07
45.12,14.84,781.90
5.79,9.06,789.71
4.17,6.91,776.04
4.88,6.02,759.11
7.16,5.43,742.84
8.27,5.39,725.91
6.51,5.70,707.68
3.65,5.74,688.80
2.54,5.39,669.27
3.84,4.92,650.39
7.29,4.53,632.16
9.05,4.77,615.23
10.48,4.96,599.61
11.20,5.00,584.64
12.96,4.96,570.31
14.45,5.04,557.29
15.36,5.04,545.57
16.60,5.00,533.85
17.97,4.96,523.44
19.40,5.00,513.67
20.64,5.08,504.56
20.90,5.12,496.09
21.09,5.08,487.63
21.74,4.96,479.82
24.41,4.69,473.31
25.20,5.27,466.80
24.74,5.55,460.94
24.22,5.51,455.08
23.96,5.39,449.22
23.96,5.31,442.71
24.09,5.23,436.85
24.28,5.12,430.99
24.80,5.04,425.78
25.52,5.04,419.92
26.11,5.08,414.71
26.24,5.16,410.16
26.37,5.16,405.60
26.63,5.04,401.04
27.99,4.53,397.14
28.58,4.96,393.88
28.26,5.27,389.97
27.86,5.31,386.07
27.80,5.23,382.81
27.73,5.20,378.91
27.73,5.16,375.65
27.80,5.12,371.74
27.93,5.04,368.49
27.93,4.96,365.23
28.06,4.92,361.33
28.39,4.92,358.07
28.52,4.96,354.82
28.65,4.92,351.56
30.01,4.38,348.96
30.73,4.77,347.01
30.34,5.12,345.05
29.82,5.20,342.45
29.62,5.16,340.49
29.43,5.16,337.89
29.30,5.16,335.29
29.36,5.12,333.33
29.30,5.12,333.33
29.43,5.04,333.33
29.36,5.04,333.33
29.36,5.08,333.33
29.36,5.08,333.33
29.49,5.04,333.33
30.21,4.34,333.33
30.92,4.57,333.33
30.66,4.96,333.33
30.40,5.08,333.33
30.34,4.96,333.33
30.34,4.92,333.33
30.34,4.92,333.33
30.34,4.88,333.33
30.40,4.88,333.33
30.40,4.84,333.33
30.40,4.77,333.33
30.47,4.84,333.33
30.47,4.84,333.33
30.47,4.77,333.33
31.77,4.06,333.33
33.33,4.38,333.33
33.14,4.88,333.33
32.62,4.96,333.33
34.05,4.88,333.33
53.91,7.07,334.64
68.55,11.05,343.10
75.26,14.61,359.38
75.00,16.33,382.81
72.59,16.84,408.20
70.18,16.84,433.59
68.49,16.48,458.33
68.16,16.05,483.07
68.36,15.86,506.51
69.21,15.47,531.25
70.18,15.63,555.34
70.31,16.21,578.13
70.12,16.52,602.21
69.34,16.60,626.30
68.68,16.64,649.74
67.71,16.60,673.18
66.86,16.52,695.96
66.28,16.45,718.10
65.30,16.48,739.58
64.52,16.56,760.42
63.80,16.72,780.60
62.83,16.84,800.13
50.52,15.35,821.61
4.43,9.26,832.03
0.91,7.03,817.06
-2.86,6.64,794.92
-4.49,6.02,771.48
-4.36,5.59,747.40
-3.12,5.27,723.96
-1.11,5.04,701.17
1.95,4.92,679.04
5.08,4.96,659.51
7.55,5.04,641.28
9.44,5.08,625.00
10.94,5.08,609.38
11.98,5.04,595.05
13.09,5.04,581.38
15.30,4.77,569.01
17.90,5.04,557.29
18.16,5.35,546.22
17.58,5.39,535.81
17.51,5.20,526.04
18.10,5.04,516.28
18.75,4.96,506.51
20.12,4.96,497.40
21.42,5.04,488.28
22.33,5.08,481.12
22.79,5.08,473.96
23.05,5.08,466.80
23.37,5.08,460.29
23.76,5.04,453.78
25.00,4.77,447.92
26.82,4.92,442.71
26.63,5.39,437.50
26.11,5.51,432.29
25.98,5.47,427.73
25.91,5.39,423.18
25.98,5.35,417.97
26.11,5.23,413.41
26.24,5.16,408.85
26.43,5.08,404.95
26.69,5.04,400.39
27.02,5.08,395.83
27.15,5.08,391.93
27.28,5.04,388.02
27.93,4.69,384.11
29.43,4.65,381.51
29.23,5.12,378.26
28.84,5.23,375.00
28.52,5.16,371.74
28.45,5.12,368.49
28.45,5.16,365.23
28.52,5.08,362.63
28.52,5.00,359.38
28.65,4.92,356.12
28.78,4.88,353.52
28.84,4.88,350.26
28.84,4.88,347.66
28.91,4.88,344.40
29.49,4.53,341.80
31.32,4.34,339.84
31.25,4.92,338.54
30.79,5.12,335.94
30.47,5.08,334.64
30.34,5.04,333.33
30.27,5.08,333.33
30.27,5.04,333.33
30.27,5.04,333.33
30.27,5.00,333.33
30.34,4.96,333.33
30.27,4.96,333.33
30.27,5.00,333.33
30.27,5.04,333.33
30.73,4.61,333.33
31.97,4.22,333.33
31.90,4.84,333.33
31.38,5.12,333.33
30.99,5.04,333.33
30.99,4.96,333.33
30.92,5.00,333.33
30.99,5.00,333.33
30.99,5.00,333.33
30.99,4.96,333.33
30.99,4.92,333.33
30.99,4.92,333.33
30.92,5.04,333.33
31.64,5.00,333.33
50.98,6.45,334.64
68.75,10.12,343.10
75.46,14.49,358.07
73.18,16.72,378.91
67.45,17.27,402.34
62.96,16.84,424.48
63.28,16.56,444.66
63.35,16.64,464.84
62.50,16.72,484.38
61.91,16.64,503.26
61.20,16.56,522.79
60.61,16.52,541.02
60.03,16.29,559.90
60.68,16.05,578.13
61.59,15.82,597.66
62.43,15.59,617.19
63.02,16.02,635.42
63.48,16.41,654.30
63.35,16.48,674.48
63.35,16.48,694.66
63.48,16.64,714.19
63.15,16.80,733.72
53.97,15.70,754.56
11.46,10.27,768.23
6.12,6.52,760.42
6.58,6.02,743.49
8.79,5.27,728.52
11.98,4.92,714.19
16.60,4.80,701.17
22.14,4.80,692.06
22.92,5.78,683.59
19.21,6.41,673.18
13.22,6.45,662.11
8.33,6.05,647.79
6.32,5.55,631.51
6.71,5.08,614.58
8.53,4.73,597.66
11.39,4.61,582.03
