Flow (l/min), Pressure (cmH2O), Volume (ml)

95.57,43.13,565.76
94.99,46.05,598.96
95.44,47.38,636.72
95.77,48.59,675.13
94.53,50.27,712.24
61.98,49.22,746.09
23.05,39.34,777.99
-44.66,21.64,794.27
-55.08,11.17,761.07
-32.10,7.19,721.35
-16.08,5.78,688.15
-7.81,5.59,658.85
-1.69,5.31,634.11
4.82,5.12,613.93
8.46,5.35,595.70
9.64,5.23,580.08
11.07,5.08,565.10
13.87,5.04,550.78
15.43,5.12,538.41
16.15,5.12,526.69
17.51,5.04,516.28
18.42,5.04,505.86
19.53,5.00,496.09
20.31,5.12,487.63
19.73,5.23,478.52
19.21,5.04,469.40
19.47,5.00,460.29
20.31,4.84,451.17
21.16,5.00,442.71
21.81,4.96,434.90
23.05,5.00,427.73
24.02,4.96,421.22
27.21,4.45,416.02
30.08,4.41,412.76
30.86,4.69,411.46
27.93,5.59,407.55
25.59,5.66,402.34
24.15,5.55,397.14
23.63,5.35,391.28
23.76,5.20,385.42
23.89,5.12,378.91
24.87,5.00,373.05
25.46,5.04,367.84
26.17,4.92,362.63
27.02,4.96,358.07
27.47,5.00,354.17
27.67,4.96,350.26
27.93,5.00,347.01
28.19,4.96,343.10
28.13,5.00,339.84
28.26,4.96,336.59
28.52,4.96,333.33
28.52,5.00,333.33
28.45,5.04,333.33
28.26,5.08,333.33
28.26,4.96,333.33
28.39,4.92,333.33
28.71,4.88,333.33
29.10,4.88,333.33
29.23,4.92,333.33
53.78,6.17,334.64
92.77,14.49,343.10
95.90,20.35,369.14
95.70,26.29,394.53
96.35,30.31,425.78
95.90,33.63,458.98
95.70,36.37,492.84
95.83,38.83,527.99
96.42,41.02,564.45
96.35,42.89,600.91
96.35,44.92,638.02
96.55,46.99,674.48
95.70,48.79,711.59
71.16,49.45,744.79
34.70,41.25,777.34
-28.52,24.53,802.73
-60.94,12.38,776.69
-36.00,7.70,735.03
-20.44,6.05,699.22
-9.31,5.59,669.27
