Flow (l/min), Pressure (cmH2O), Volume (ml)

53.39,2.77,333.33
53.32,2.77,333.33
53.26,2.77,333.33
53.39,2.77,333.33
53.19,2.77,333.33
53.32,2.77,333.33
53.32,2.77,333.33
53.32,2.77,333.33
53.45,2.77,333.33
53.32,2.77,333.33
53.39,2.73,333.33
53.45,2.73,333.33
53.39,2.70,333.33
53.26,2.70,333.33
53.32,2.70,333.33
53.32,2.70,333.33
53.39,2.70,333.33
53.32,2.70,333.33
53.39,2.70,333.33
53.26,2.70,333.33
53.26,2.70,333.33
53.26,2.70,333.33
53.39,2.73,333.33
53.39,2.73,333.33
53.32,2.73,333.33
53.19,2.73,333.33
53.32,2.73,333.33
53.32,2.73,333.33
53.32,2.73,333.33
53.32,2.73,333.33
53.32,2.73,333.33
53.45,2.73,333.33
53.32,2.73,333.33
53.32,2.77,333.33
53.32,2.77,333.33
53.32,2.77,333.33
53.32,2.73,333.33
53.39,2.73,333.33
53.32,2.77,333.33
53.39,2.77,333.33
53.32,2.77,333.33
53.26,2.73,333.33
53.26,2.73,333.33
53.52,2.77,333.33
53.45,2.77,333.33
53.39,2.77,333.33
53.39,2.77,333.33
53.39,2.81,333.33
53.39,2.85,333.33
53.39,2.89,333.33
53.32,2.89,333.33
53.32,2.89,333.33
53.39,2.93,333.33
53.32,2.93,333.33
53.39,2.89,333.33
53.39,2.89,333.33
53.32,2.85,333.33
53.32,2.81,333.33
53.45,2.85,333.33
53.39,2.81,333.33
53.26,2.81,333.33
53.32,2.81,333.33
53.32,2.81,333.33
53.32,2.81,333.33
53.39,2.81,333.33
53.26,2.77,333.33
53.39,2.81,333.33
53.32,2.77,333.33
53.45,2.77,333.33
53.26,2.77,333.33
53.39,2.77,333.33
53.39,2.73,333.33
53.32,2.77,333.33
53.32,2.77,333.33
53.45,2.77,333.33
53.32,2.77,333.33
53.32,2.77,333.33
53.26,2.77,333.33
53.32,2.73,333.33
53.32,2.73,333.33
53.45,2.73,333.33
53.39,2.73,333.33
53.32,2.73,333.33
53.32,2.73,333.33
53.19,2.70,333.33
53.32,2.77,333.33
53.26,2.77,333.33
53.45,2.77,333.33
53.26,2.73,333.33
53.39,2.73,333.33
53.26,2.73,333.33
53.32,2.73,333.33
53.39,2.73,333.33
53.32,2.73,333.33
53.39,2.62,333.33
53.39,2.54,333.33
53.39,2.58,333.33
53.26,2.62,333.33
53.26,2.66,333.33
53.32,2.66,333.33
53.26,2.66,333.33
53.26,2.66,333.33
53.19,2.66,333.33
53.32,2.70,333.33
53.39,2.70,333.33
53.26,2.73,333.33
53.32,2.77,333.33
53.45,2.77,333.33
