Flow (l/min), Pressure (cmH2O), Volume (ml)

83.59,7.38,333.33
83.46,7.42,333.33
83.14,7.38,333.33
83.07,7.34,333.33
83.72,7.34,333.33
83.40,7.34,333.33
83.46,7.34,333.33
83.40,7.38,333.33
83.72,7.34,333.33
83.72,7.30,333.33
83.20,7.34,333.33
83.20,7.34,333.33
83.53,7.34,333.33
83.07,7.34,333.33
83.20,7.34,333.33
83.33,7.34,333.33
83.59,7.42,333.33
83.53,7.46,333.33
83.59,7.46,333.33
83.20,7.42,333.33
83.66,7.46,333.33
83.53,7.77,333.33
83.14,8.05,333.33
83.40,7.93,333.33
83.59,7.97,333.33
83.79,7.97,333.33
83.33,7.97,333.33
83.92,7.97,333.33
83.53,7.93,333.33
83.07,7.89,333.33
83.33,7.85,333.33
83.72,7.89,333.33
83.46,7.77,333.33
83.59,7.77,333.33
83.01,7.77,333.33
83.33,7.73,333.33
83.46,7.73,333.33
83.40,7.70,333.33
83.53,7.62,333.33
83.46,7.73,333.33
83.40,7.62,333.33
83.20,7.42,333.33
83.27,7.46,333.33
83.53,7.46,333.33
83.33,7.50,333.33
83.53,7.50,333.33
83.59,7.46,333.33
83.27,7.42,333.33
83.33,7.42,333.33
83.20,7.42,333.33
83.20,7.42,333.33
83.01,7.42,333.33
83.20,7.42,333.33
83.27,7.46,333.33
83.53,7.42,333.33
83.01,7.38,333.33
83.33,7.42,333.33
83.07,7.42,333.33
83.01,7.42,333.33
83.14,7.42,333.33
83.27,7.42,333.33
82.94,7.42,333.33
83.14,7.42,333.33
82.68,7.42,333.33
83.14,7.38,333.33
83.07,7.38,333.33
83.53,7.34,333.33
83.27,7.42,333.33
83.07,7.38,333.33
83.33,7.38,333.33
83.20,7.46,333.33
83.14,7.46,333.33
83.46,7.54,333.33
82.94,7.62,333.33
83.53,7.66,333.33
83.20,7.66,333.33
82.94,7.66,333.33
83.46,7.73,333.33
83.14,7.73,333.33
83.14,7.77,333.33
83.14,7.81,333.33
83.01,7.85,333.33
83.14,7.89,333.33
83.01,8.01,333.33
82.94,8.13,333.33
83.07,8.16,333.33
83.14,8.16,333.33
83.46,8.13,333.33
83.33,8.13,333.33
83.66,8.05,333.33
83.53,7.85,333.33
83.27,7.70,333.33
