Flow (l/min), Pressure (cmH2O), Volume (ml)

57.03,8.01,417.32
57.23,8.05,432.94
56.32,8.05,448.57
56.64,7.89,464.19
58.46,7.77,480.47
61.26,7.77,498.70
62.30,8.01,516.93
61.46,8.13,535.81
60.94,8.05,554.69
60.81,7.97,572.92
60.74,7.97,591.15
61.20,7.97,610.03
60.74,8.09,628.26
60.87,8.09,646.48
59.77,8.13,664.06
58.01,8.36,680.34
52.21,8.55,694.66
41.73,8.71,703.13
15.76,7.27,703.78
7.55,6.37,690.10
16.15,4.69,679.04
20.70,5.16,669.27
15.82,6.45,656.25
11.59,6.60,642.58
10.68,6.41,628.26
10.42,6.21,613.28
10.55,6.09,598.31
11.39,5.94,583.98
12.43,5.82,570.31
13.28,5.70,556.64
14.52,5.63,544.27
15.43,5.55,531.90
16.21,5.47,520.83
16.93,5.47,509.77
17.77,5.43,499.35
18.82,5.39,488.93
19.08,5.39,479.82
19.60,5.35,470.70
20.44,5.27,461.59
20.90,5.23,453.78
21.94,5.16,445.96
22.98,5.12,438.80
23.76,5.08,431.64
24.54,5.08,425.78
25.20,5.04,419.92
25.65,5.04,415.36
25.78,5.00,410.16
26.89,4.80,404.95
28.78,4.57,333.33
39.65,4.73,335.29
61.59,8.01,477.86
60.94,8.05,496.09
60.74,7.97,514.97
60.68,7.93,533.20
61.39,8.01,551.43
61.33,7.97,570.31
61.52,8.01,589.19
61.07,8.13,607.42
59.51,8.20,625.00
57.29,8.20,641.93
52.99,8.63,655.60
40.76,8.79,664.06
15.43,6.76,665.36
14.97,5.20,655.60
23.70,4.06,647.14
31.12,3.71,643.88
33.98,3.79,643.88
34.24,3.91,643.88
33.98,3.98,643.88
33.79,4.02,643.88
33.59,4.10,643.88
33.07,4.45,643.88
30.08,5.63,640.63
21.55,6.56,633.46
19.86,5.63,626.95
23.50,4.69,333.33
37.63,4.77,334.64
44.14,7.85,333.98
28.19,9.41,333.33
6.58,9.10,333.33
2.80,8.16,333.33
6.84,7.77,333.33
10.35,7.50,333.33
7.23,6.84,333.33
8.14,6.13,333.33
12.17,5.51,333.33
17.38,4.88,333.33
24.54,4.10,333.33
30.86,3.75,333.33
32.81,4.06,333.33
30.21,5.35,333.33
25.00,5.94,333.33
22.85,5.47,333.33
25.65,4.77,333.33
29.36,4.38,333.33
42.97,4.69,337.89
56.05,6.80,344.40
54.95,8.20,356.12
48.57,8.16,368.49
47.92,7.70,378.91
53.71,7.42,391.28
60.68,7.34,407.55
65.49,7.70,427.08
65.17,8.13,447.27
61.52,8.28,466.80
55.86,8.28,483.72
52.02,8.05,498.05
51.95,7.85,510.42
55.47,7.58,524.74
60.81,7.58,541.67
62.76,7.89,559.90
62.30,8.01,579.43
61.91,7.93,598.96
61.78,7.89,617.84
62.24,7.81,637.37
63.74,7.73,656.90
64.39,7.89,677.08
64.65,7.93,697.92
64.84,7.97,718.75
64.19,8.01,739.58
63.87,8.05,759.77
62.37,8.24,779.30
57.03,8.40,796.22
48.70,8.63,808.59
30.92,8.16,815.10
5.99,7.15,805.99
2.21,6.52,787.11
3.26,6.33,767.58
5.60,6.05,748.70
8.33,5.94,731.77
9.24,6.05,714.84
9.11,6.17,698.57
10.16,5.94,683.59
12.17,5.74,669.27
13.61,5.74,655.60
14.32,5.70,643.23
14.91,5.63,630.86
15.69,5.59,618.49
15.95,5.59,606.77
16.86,5.47,595.70
18.03,5.39,585.29
18.82,5.35,575.52
19.73,5.35,565.76
20.51,5.31,557.29
21.09,5.23,548.83
22.53,5.16,541.02
22.92,5.23,533.85
22.66,5.35,527.34
22.79,5.23,520.18
23.44,5.04,513.02
24.41,5.04,507.16
24.74,5.12,501.30
25.91,4.92,496.09
27.60,4.77,491.54
29.36,4.57,333.33
37.11,4.41,334.64
52.67,6.17,339.84
57.49,7.66,350.91
55.73,8.05,365.23
52.80,8.05,378.91
52.15,7.89,391.93
54.69,7.70,406.25
56.64,7.85,420.57
56.97,7.93,436.20
57.03,7.89,451.82
56.97,7.89,468.10
57.23,7.85,483.72
57.03,7.93,499.35
57.42,7.97,515.63
57.49,7.97,531.25
57.16,7.89,547.53
57.55,7.85,563.80
58.20,7.77,580.08
59.70,7.81,597.01
60.29,7.89,614.58
60.22,8.01,632.81
59.31,8.16,649.74
56.12,8.28,666.02
50.26,8.44,678.39
41.08,8.55,686.20
17.84,7.23,687.50
8.53,6.52,673.83
14.78,4.92,662.76
24.09,4.14,654.30
25.72,5.23,648.44
19.08,6.41,638.67
15.89,6.25,628.26
13.87,6.25,615.89
12.17,6.29,601.56
10.81,6.25,587.24
10.94,6.05,572.92
11.85,5.86,558.59
12.83,5.74,544.92
14.19,5.63,532.55
15.76,5.55,520.18
16.60,5.51,509.11
17.90,5.47,498.70
18.68,5.39,488.93
19.60,5.35,479.17
20.44,5.31,470.70
20.83,5.31,462.24
