Flow (l/min), Pressure (cmH2O), Volume (ml)

31.77,5.04,333.33
31.71,5.08,333.33
31.77,5.04,333.33
31.71,5.00,333.33
31.71,5.00,333.33
31.97,4.73,333.33
32.16,4.61,333.33
32.16,4.69,333.33
32.36,4.61,333.33
32.68,4.49,333.33
33.27,4.38,333.33
34.05,4.22,333.33
35.48,3.91,333.33
55.53,5.51,337.89
74.93,11.99,343.10
78.71,16.95,359.38
69.79,19.14,380.86
45.70,19.61,395.83
21.68,19.53,394.53
16.47,19.41,384.11
23.96,18.63,377.60
30.99,18.79,373.70
29.88,19.22,371.09
28.19,19.26,367.84
28.91,18.95,365.23
30.86,18.75,363.93
31.64,18.91,361.98
31.25,19.02,360.68
31.05,19.02,358.72
30.99,19.02,357.42
29.43,5.31,337.89
30.21,4.92,336.59
31.38,4.57,335.94
32.75,4.38,335.29
33.66,4.41,335.29
33.85,4.49,335.29
33.92,4.57,335.29
33.79,4.65,335.29
33.66,4.77,335.29
33.66,4.73,335.29
34.51,4.02,335.29
45.57,3.28,336.59
74.15,8.52,344.40
85.35,14.02,361.33
85.81,17.66,386.72
80.27,18.79,416.67
74.41,18.13,447.27
77.86,16.84,479.17
81.51,16.56,511.07
85.87,17.54,542.32
85.35,18.55,574.87
79.95,19.10,606.12
70.83,19.06,634.11
63.61,18.98,656.25
54.88,19.41,672.53
38.93,19.30,681.64
30.21,18.67,682.94
30.73,19.30,679.69
27.15,19.61,675.78
23.44,19.80,669.27
18.29,20.23,660.16
13.41,20.31,647.79
6.97,19.96,634.11
-30.53,13.44,621.09
-16.80,6.29,600.26
20.44,3.98,585.29
27.86,6.05,577.47
21.48,6.76,569.66
17.77,6.13,561.85
19.60,5.23,554.04
24.15,4.65,547.53
26.37,5.20,541.67
26.95,5.51,536.46
26.37,5.55,531.90
26.17,5.31,527.99
27.02,4.96,524.09
28.52,4.92,520.83
29.17,5.00,517.58
29.49,5.00,514.97
29.69,4.96,512.37
29.82,4.96,509.77
29.82,5.00,507.81
29.88,5.08,505.21
29.82,5.08,502.60
29.82,5.04,500.65
29.82,5.04,498.05
29.82,4.96,496.09
29.95,4.88,494.14
30.08,4.80,492.19
30.40,4.80,490.23
30.60,4.92,487.63
30.60,5.00,485.68
30.40,5.00,483.72
30.60,4.96,481.77
30.79,4.84,480.47
30.99,4.77,479.17
31.58,4.73,477.86
31.84,4.88,476.56
31.90,4.84,475.26
31.77,4.84,474.61
31.71,4.92,473.31
31.71,4.92,472.01
32.16,4.61,472.01
34.64,3.71,430.34
52.54,2.97,339.19
80.86,9.34,350.91
88.09,16.02,367.84
85.94,17.34,399.74
87.83,17.73,434.24
87.24,17.58,470.70
88.35,16.76,509.77
90.49,16.09,548.83
97.20,16.41,587.89
101.63,17.42,629.56
101.76,17.97,673.83
101.30,17.89,719.40
100.78,18.09,764.32
97.33,19.02,805.99
78.78,20.20,839.84
34.51,20.94,852.86
-14.78,21.29,832.68
-29.69,21.48,794.27
-32.03,20.31,753.26
-10.09,18.83,720.70
7.62,19.49,697.92
-4.49,18.87,680.99
-33.07,11.41,663.41
-6.38,5.31,643.23
18.88,4.14,628.91
26.11,5.08,621.74
24.80,6.09,614.58
21.61,6.13,607.42
21.29,5.59,600.91
23.96,5.08,595.05
26.11,5.04,589.84
27.41,5.27,584.64
27.08,5.51,580.08
25.59,5.47,575.52
24.80,5.27,570.31
24.93,5.04,565.76
25.78,4.88,560.55
27.02,4.88,555.99
27.73,5.04,552.08
27.67,5.12,547.53
27.41,5.31,543.62
27.15,5.35,539.06
26.63,5.31,535.16
26.04,5.31,530.60
25.91,5.23,525.39
25.91,5.16,520.83
25.91,5.16,516.28
25.72,5.16,511.07
25.85,5.12,505.86
25.98,5.04,501.30
25.85,5.20,496.09
25.72,5.20,490.89
25.13,5.31,485.03
24.61,5.27,479.82
24.41,5.08,474.61
25.26,4.88,468.75
26.30,4.92,464.19
26.82,5.04,459.64
26.89,5.08,455.08
26.69,5.16,450.52
25.98,5.39,445.31
25.20,5.27,440.10
25.59,4.92,435.55
26.17,4.88,430.99
27.02,4.80,426.43
27.15,5.16,421.88
27.80,4.88,417.97
28.19,4.96,414.71
28.78,4.80,411.46
31.32,4.02,409.51
38.09,2.66,356.77
67.19,3.83,345.70
90.76,10.39,363.93
98.18,16.09,389.97
91.73,18.71,423.83
80.34,18.87,458.33
75.65,18.09,489.58
77.54,17.97,518.88
75.13,18.79,545.57
66.67,19.02,569.66
61.59,17.93,593.10
64.45,16.72,615.89
67.71,17.07,636.72
67.71,18.83,655.60
56.05,19.53,673.18
41.21,18.52,684.90
40.56,18.44,689.45
31.71,19.96,688.15
13.61,20.16,679.04
4.10,20.55,661.46
-2.99,20.31,639.97
-5.47,20.16,614.58
-24.09,16.09,595.05
-36.07,9.65,567.71
-7.36,5.31,542.32
10.16,4.92,524.74
13.80,5.82,508.46
10.22,6.64,492.19
10.35,5.78,479.17
13.80,5.08,466.80
18.95,4.80,455.73
22.46,5.08,447.27
23.44,5.43,439.45
22.46,5.55,432.29
21.68,5.35,425.13
22.07,5.08,418.62
23.24,4.88,411.46
24.80,4.92,405.60
25.65,5.04,399.74
25.78,5.16,394.53
25.39,5.27,389.32
25.07,5.16,384.11
25.00,4.92,378.91
26.24,4.73,373.70
27.73,4.73,369.79
28.71,4.92,366.54
28.71,5.08,362.63
28.39,5.20,359.38
28.13,5.20,356.12
27.86,5.16,352.21
27.73,5.16,348.96
27.47,5.23,345.05
27.73,5.12,341.15
27.99,5.00,337.89
28.45,4.84,334.64
28.52,5.00,333.33
28.19,5.23,333.33
27.67,5.35,333.33
26.37,5.47,333.33
25.46,5.23,333.33
25.52,4.96,333.33
26.76,4.65,333.33
28.26,4.69,333.33
28.71,4.96,333.33
28.58,5.08,333.33
28.26,5.23,333.33
27.80,5.27,333.33
27.41,5.23,333.33
27.28,5.16,333.33
27.47,4.96,333.33
28.06,4.84,333.33
28.58,4.92,333.33
28.58,5.12,333.33
28.26,5.27,333.33
27.86,5.23,333.33
27.80,5.12,333.33
