Flow (l/min), Pressure (cmH2O), Volume (ml)

71.03,8.91,618.49
70.90,9.18,643.23
70.12,9.34,667.32
68.55,9.57,690.76
65.49,9.69,712.89
61.91,9.73,733.07
58.20,9.53,751.30
55.60,9.14,767.58
54.04,8.98,782.55
52.80,8.95,795.57
51.30,9.10,807.94
49.35,9.53,817.71
46.22,9.92,826.82
41.28,9.96,833.33
27.41,8.87,837.24
16.08,7.46,832.68
7.10,6.91,819.01
2.15,6.21,801.43
0.52,5.90,781.25
-0.59,5.70,759.11
-1.43,5.63,736.33
-3.12,5.59,712.89
-4.62,5.35,688.80
-4.43,5.08,664.06
-2.47,4.88,639.32
0.26,4.88,616.54
2.80,4.96,595.70
4.43,5.04,576.17
5.60,5.00,557.29
7.62,4.96,539.06
10.03,4.92,522.79
12.57,4.96,508.46
13.87,5.08,494.79
14.26,5.12,481.77
14.71,5.00,470.05
15.95,4.96,457.68
17.38,5.00,446.61
17.51,5.12,436.20
17.77,5.08,425.78
18.49,4.92,415.36
20.18,4.88,406.25
21.94,5.04,397.79
22.40,5.20,389.97
21.61,5.27,382.81
20.96,5.20,375.00
21.09,5.00,367.19
22.33,4.80,359.38
24.41,4.84,352.86
25.26,5.16,346.35
25.00,5.31,340.49
24.67,5.20,335.29
25.20,4.92,333.33
26.56,4.77,333.33
28.58,4.73,333.33
30.01,4.65,333.33
31.71,4.45,333.33
33.46,4.22,333.33
35.29,3.98,333.33
45.25,4.38,337.24
54.95,6.21,345.70
60.61,7.62,358.07
63.35,8.63,375.00
63.61,9.22,393.23
62.24,9.14,413.41
61.07,9.06,432.29
60.22,8.91,451.17
59.51,8.63,469.40
59.38,8.48,486.98
59.90,8.28,505.21
60.74,8.13,523.44
61.52,7.81,542.97
64.39,7.77,562.50
68.29,8.75,582.68
68.62,9.49,604.17
65.95,9.69,626.30
62.63,9.73,646.48
58.59,9.73,664.71
55.01,9.77,679.69
50.72,10.12,692.06
42.90,10.31,700.52
24.67,9.34,703.78
8.20,7.85,695.31
-0.46,6.80,677.73
-2.86,5.98,656.25
-2.34,5.47,634.11
-1.76,5.27,610.68
-1.11,5.16,587.89
0.39,5.04,565.76
3.52,4.92,545.57
6.38,4.96,526.04
8.72,5.08,509.11
9.64,5.12,492.84
10.68,5.04,477.86
11.33,5.00,462.89
12.76,4.96,448.57
14.91,4.84,436.20
16.41,5.04,423.83
16.86,5.20,412.11
16.86,5.20,401.69
16.99,5.12,390.63
17.84,5.00,380.21
18.68,5.00,370.44
19.60,5.04,360.68
19.99,5.04,352.21
20.64,4.96,343.75
21.61,4.92,335.29
23.11,5.00,333.33
23.76,5.16,333.33
23.63,5.23,333.33
22.98,5.23,333.33
24.54,5.35,333.33
24.02,5.27,333.33
23.89,5.12,333.33
24.41,5.00,333.33
25.13,4.92,333.33
26.04,5.00,333.33
26.56,5.08,333.33
26.69,5.12,333.33
26.50,5.16,333.33
26.69,5.16,333.33
26.63,5.20,333.33
26.56,5.16,333.33
26.82,5.04,333.33
27.34,4.88,333.33
27.93,5.04,333.33
27.93,5.08,333.33
28.06,5.04,333.33
28.39,4.92,333.33
29.04,4.84,333.33
30.01,4.73,333.33
31.38,4.53,333.33
32.94,4.34,333.33
34.57,4.14,333.33
39.00,3.98,334.64
50.98,5.31,341.15
57.75,7.15,350.91
60.74,8.52,364.58
60.94,9.26,380.86
58.85,9.30,398.44
57.42,8.79,416.67
56.77,8.63,432.29
56.38,8.67,447.92
55.79,8.55,463.54
55.79,8.44,478.52
56.12,8.40,494.14
56.38,8.36,509.11
56.71,8.09,525.39
57.23,7.70,542.32
60.61,7.62,559.24
64.52,8.48,576.82
65.76,9.22,596.35
64.13,9.65,616.54
60.94,9.65,635.42
58.07,9.34,653.65
56.05,8.91,670.57
55.86,8.55,686.85
55.73,8.79,701.17
55.60,9.06,714.84
55.27,9.30,729.17
54.10,9.69,742.19
49.80,10.04,753.91
43.10,10.20,762.37
29.43,9.26,766.93
15.49,7.73,763.02
7.23,6.95,750.00
3.91,6.13,733.07
2.73,5.66,714.19
2.86,5.39,694.66
3.26,5.27,675.13
4.04,5.12,655.60
6.32,4.96,637.37
9.18,5.00,620.44
10.09,5.23,604.17
9.96,5.20,588.54
10.16,5.08,572.92
11.00,4.96,558.59
12.57,5.04,543.62
13.41,5.08,530.60
14.06,4.96,517.58
16.02,4.88,505.21
18.49,4.92,494.79
20.31,5.04,485.03
20.83,5.20,476.56
20.64,5.20,468.10
20.64,5.16,459.64
20.70,5.04,451.17
21.74,4.84,444.01
23.44,5.04,436.20
23.63,5.27,429.04
22.79,5.31,422.53
22.27,5.23,415.36
22.33,5.12,408.20
22.85,5.04,401.04
23.37,5.00,394.53
24.02,5.00,388.02
24.74,5.04,382.16
24.80,5.04,376.30
25.20,5.00,371.09
25.33,5.04,365.23
25.52,5.04,360.03
25.52,5.04,354.82
25.85,4.92,350.26
27.02,4.80,345.70
28.32,4.96,341.80
28.52,5.12,337.89
28.58,5.00,335.29
29.36,4.80,333.33
30.66,4.61,333.33
32.23,4.45,333.33
34.05,4.10,333.33
39.32,3.87,334.64
51.37,5.27,341.80
58.27,7.11,351.56
61.65,8.48,365.89
61.59,9.26,382.81
59.31,9.26,401.04
57.75,8.79,418.62
57.29,8.36,436.20
58.33,8.01,453.13
59.24,8.36,469.40
59.44,8.83,485.68
59.11,9.02,502.60
58.40,9.06,518.88
57.49,8.95,535.81
56.77,8.75,552.08
56.38,8.52,568.36
56.38,8.36,583.98
56.38,8.59,598.96
56.12,9.14,612.63
54.17,9.84,625.00
47.92,10.23,636.07
38.54,9.92,643.23
22.79,8.36,645.18
12.83,7.30,637.37
8.33,6.33,624.35
6.38,5.86,608.07
5.99,5.59,591.15
6.51,5.39,573.57
6.97,5.31,555.99
7.75,5.20,539.06
9.24,5.08,522.79
11.33,5.00,507.16
13.48,5.04,493.49
14.97,5.00,481.12
16.99,5.00,469.40
18.82,5.04,458.98
19.34,5.16,449.22
19.21,5.16,440.10
19.40,5.08,430.99
20.38,4.84,422.53
