Flow (l/min), Pressure (cmH2O), Volume (ml)

21.81,5.12,333.33
21.88,5.04,333.33
22.07,5.08,333.33
21.88,5.12,333.33
21.88,5.12,333.33
22.14,5.08,333.33
22.27,5.04,333.33
22.79,5.04,333.33
23.05,5.04,333.33
23.18,5.04,333.33
23.70,4.92,333.33
25.39,4.73,333.33
26.76,5.04,333.33
26.82,5.31,333.33
26.50,5.35,333.33
26.30,5.39,333.33
26.04,5.43,333.33
25.52,5.35,333.33
25.52,5.27,333.33
25.39,5.20,333.33
25.52,5.16,333.33
25.72,5.12,333.33
25.85,5.12,333.33
26.11,4.96,333.33
27.60,4.77,333.33
28.26,5.12,333.33
28.19,5.20,333.33
28.19,5.08,333.33
28.26,5.08,333.33
28.26,5.08,333.33
28.39,5.04,333.33
28.52,4.92,333.33
28.91,4.84,333.33
29.56,4.80,333.33
30.47,4.69,333.33
31.58,4.61,333.33
33.14,4.10,333.33
36.33,3.71,333.98
47.01,5.08,337.24
54.56,6.72,345.05
59.05,8.09,356.77
60.03,9.06,371.74
57.42,9.26,388.67
55.47,8.79,404.95
55.21,8.32,420.57
56.05,8.09,436.20
56.58,8.09,451.82
56.71,7.93,467.45
56.90,7.81,483.72
58.27,7.42,500.65
63.61,8.20,516.93
64.19,9.14,535.16
62.24,9.26,554.69
60.22,9.06,573.57
58.59,8.79,591.80
57.42,8.55,608.72
57.42,8.36,625.65
58.01,8.28,641.93
58.40,8.36,658.20
58.53,8.59,674.48
58.46,8.83,690.76
58.14,8.98,707.03
57.55,8.91,723.31
56.77,9.30,738.28
54.10,9.53,752.60
50.33,9.80,764.32
44.34,10.00,772.79
34.11,9.77,777.99
16.93,8.13,776.04
7.10,7.11,764.32
2.93,6.13,747.40
2.93,5.51,729.17
4.04,5.16,710.29
5.47,5.04,691.41
7.94,4.96,673.83
10.68,4.96,658.20
11.72,5.27,642.58
11.72,5.27,628.26
11.13,5.31,613.28
10.03,5.27,598.31
9.31,5.12,582.68
9.70,4.92,567.71
11.52,4.84,552.73
14.00,4.88,538.41
15.36,5.00,526.04
16.28,5.08,514.32
16.60,5.08,502.60
18.10,4.80,492.84
19.79,4.96,483.07
19.79,5.27,473.31
19.47,5.23,464.19
19.73,5.08,455.73
20.31,5.00,446.61
20.90,5.00,438.15
21.48,5.00,430.34
22.40,5.04,422.53
22.46,5.08,415.36
22.59,5.08,408.20
22.85,5.04,401.04
23.11,5.04,394.53
24.22,4.80,388.67
26.17,4.96,382.81
26.30,5.27,376.95
26.04,5.31,372.40
25.85,5.31,367.19
25.46,5.35,361.98
24.93,5.35,356.77
24.80,5.23,350.91
25.00,5.12,345.70
25.26,5.08,340.49
25.52,5.04,335.29
26.04,5.08,333.33
26.37,5.04,333.33
27.67,4.73,333.33
28.52,5.04,333.33
28.32,5.20,333.33
28.39,5.12,333.33
28.45,5.12,333.33
28.32,5.23,333.33
28.32,5.23,333.33
28.26,5.23,333.33
28.19,5.20,333.33
28.26,5.20,333.33
28.32,5.12,333.33
28.32,5.12,333.33
28.84,4.77,333.33
30.66,4.38,333.33
31.51,4.61,333.33
32.23,4.41,333.33
33.59,4.22,333.33
34.90,4.10,333.33
42.32,4.30,335.94
53.19,5.86,344.40
59.31,7.46,355.47
62.11,8.59,371.09
61.59,9.14,388.67
59.31,8.95,407.55
58.33,8.36,425.78
59.38,7.70,444.66
61.85,7.70,462.89
65.49,8.59,480.47
64.84,9.14,500.65
62.70,9.22,520.83
60.55,9.02,539.71
58.92,8.71,558.59
58.14,8.40,575.52
58.59,8.20,593.10
59.24,8.24,610.03
59.24,8.52,626.30
59.18,8.95,642.58
57.94,9.30,658.20
55.34,9.34,673.83
51.30,9.88,685.55
44.21,10.04,694.66
33.33,9.34,700.52
18.42,7.85,698.57
10.35,7.07,687.50
6.32,6.17,673.18
5.40,5.63,656.25
5.92,5.31,638.67
7.42,5.16,621.09
8.66,5.12,604.82
9.64,5.12,588.54
10.74,4.88,572.92
13.61,4.84,559.24
14.45,5.16,546.22
14.78,5.16,533.85
15.36,5.12,521.48
16.08,5.08,509.77
16.47,5.08,498.70
16.93,5.08,487.63
17.51,5.00,477.21
18.75,5.00,466.80
19.92,5.08,457.68
20.05,5.12,448.57
20.18,5.08,440.10
21.16,4.84,431.64
23.37,4.88,423.83
23.89,5.23,417.32
23.24,5.31,410.81
22.92,5.23,404.30
22.79,5.16,397.14
22.92,5.12,389.97
23.18,5.04,383.46
23.83,5.00,376.95
24.48,5.04,371.09
24.80,5.08,365.23
24.87,5.08,359.38
24.87,5.04,353.52
26.17,4.69,348.31
28.06,4.84,344.40
28.58,5.08,341.15
28.65,5.00,337.89
29.23,4.88,335.29
29.69,4.88,333.33
29.95,4.88,333.33
30.21,4.88,333.33
30.47,4.84,333.33
30.60,4.88,333.33
30.66,4.88,333.33
30.79,4.84,333.33
31.25,4.73,333.33
33.20,4.10,333.33
34.70,4.26,333.33
35.03,4.30,333.33
38.80,4.14,334.64
50.13,5.59,340.49
56.45,7.23,349.61
59.18,8.55,362.63
58.72,9.30,377.60
55.40,9.30,393.88
53.19,8.83,408.85
52.15,8.48,422.53
52.08,8.28,435.55
52.67,8.09,448.57
53.45,7.81,462.89
53.52,8.16,475.26
53.65,8.24,488.28
53.71,8.13,502.60
53.52,8.09,516.28
53.84,8.16,597.66
53.78,8.40,610.68
53.65,8.40,624.35
53.45,8.75,636.72
52.60,9.34,648.44
49.54,9.57,659.51
45.18,9.73,667.97
39.91,9.80,673.83
27.86,8.98,677.08
15.43,7.73,671.88
7.88,6.84,659.51
4.95,6.02,643.23
4.95,5.51,625.65
6.32,5.20,608.07
7.62,5.12,590.49
10.22,4.92,574.87
12.04,5.20,559.90
12.17,5.23,545.57
12.83,5.12,531.90
13.74,5.08,518.88
14.26,5.16,505.86
14.39,5.12,492.84
15.10,4.96,481.12
16.80,4.92,469.40
18.29,4.96,458.98
19.08,5.08,449.22
18.75,5.12,439.45
18.95,4.96,429.69
20.90,4.69,421.22
22.33,5.00,413.41
